ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,227.71,229.66,225.34,227.67,344067.0
2025-10-27 04:00:00+00:00,233.7,234.73,230.13,230.3,254926.0
2025-10-28 04:00:00+00:00,228.75,229.99,226.07,226.65,400442.0
2025-10-29 04:00:00+00:00,232.36,236.3,231.59,234.77,356457.0
2025-10-30 04:00:00+00:00,236.45,241.26,231.05,231.68,285394.0
2025-10-31 04:00:00+00:00,232.7,236.75,229.47,232.06,266741.0
2025-11-03 05:00:00+00:00,234.95,238.67,233.11,236.55,244922.0
2025-11-04 05:00:00+00:00,230.17,235.87,228.78,229.24,237847.0
2025-11-05 05:00:00+00:00,229.08,240.81,229.08,239.79,412113.0
2025-11-06 05:00:00+00:00,239.47,239.47,231.97,232.4,324390.0
2025-11-07 05:00:00+00:00,231.3,231.3,222.43,228.99,222225.0
2025-11-10 05:00:00+00:00,234.96,235.3,231.28,234.06,197062.0
2025-11-11 05:00:00+00:00,231.71,232.11,226.12,227.75,199874.0
2025-11-12 05:00:00+00:00,230.02,230.68,227.96,229.75,178313.0
2025-11-13 05:00:00+00:00,227.16,227.73,218.8,222.38,540500.0
2025-11-14 05:00:00+00:00,202.85,225.11,202.61,225.08,837501.0
2025-11-17 05:00:00+00:00,223.21,230.54,222.59,227.63,319048.0
2025-11-18 05:00:00+00:00,224.75,226.51,218.57,224.15,452184.0
2025-11-19 05:00:00+00:00,225.91,234.84,225.91,234.23,353274.0
2025-11-20 05:00:00+00:00,239.14,240.01,218.45,219.62,406298.0
2025-11-21 05:00:00+00:00,219.64,227.41,214.96,223.25,290906.0
2025-11-24 05:00:00+00:00,223.26,232.56,223.26,230.31,278608.0
2025-11-25 05:00:00+00:00,237.39,243.83,232.64,241.92,255934.0
2025-11-26 05:00:00+00:00,242.89,251.9,242.37,249.3,298250.0
2025-11-28 05:00:00+00:00,249.4,251.56,247.3,251.53,127916.0
2025-12-01 05:00:00+00:00,249.61,255.06,247.98,254.29,217413.0
2025-12-02 05:00:00+00:00,254.99,266.38,254.99,264.76,369462.0
2025-12-03 05:00:00+00:00,264.33,268.46,259.23,268.01,270401.0
2025-12-04 05:00:00+00:00,267.67,271.99,265.48,268.8,194833.0
2025-12-05 05:00:00+00:00,269.23,272.68,266.73,267.28,253420.0
2025-12-08 05:00:00+00:00,268.83,271.32,265.94,267.53,394230.0
2025-12-09 05:00:00+00:00,265.49,267.82,264.28,266.47,156190.0
2025-12-10 05:00:00+00:00,265.77,275.41,265.48,274.4,282006.0
2025-12-11 05:00:00+00:00,270.45,270.66,262.35,269.41,279337.0
