ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,490.51,492.93,489.71,492.07,58645.0
2025-10-27 04:00:00+00:00,491.565,492.07,484.58,488.08,181302.0
2025-10-28 04:00:00+00:00,483.16,485.51,481.14,481.5,84430.0
2025-10-29 04:00:00+00:00,476.2,477.46,473.75,475.67,137462.0
2025-10-30 04:00:00+00:00,476.5,480.82,476.5,478.695,134222.0
2025-10-31 04:00:00+00:00,475.925,478.555,475.445,477.72,187905.0
2025-11-03 05:00:00+00:00,478.32,479.12,473.26,475.7,193486.0
2025-11-04 05:00:00+00:00,476.085,488.77,476.085,487.71,162270.0
2025-11-05 05:00:00+00:00,488.96,493.8,488.19,489.185,148470.0
2025-11-06 05:00:00+00:00,487.17,493.91,487.125,493.12,106686.0
2025-11-07 05:00:00+00:00,494.895,500.06,493.54,498.95,114040.0
2025-11-10 05:00:00+00:00,496.07,501.275,495.48,496.755,89630.0
2025-11-11 05:00:00+00:00,499.265,499.34,494.385,497.22,74811.0
2025-11-12 05:00:00+00:00,497.285,504.395,497.285,502.48,193743.0
2025-11-13 05:00:00+00:00,505.08,514.18,505.05,513.115,180183.0
2025-11-14 05:00:00+00:00,514.87,516.445,506.45,508.95,167191.0
2025-11-17 05:00:00+00:00,509.59,511.25,502.89,503.4,91737.0
2025-11-18 05:00:00+00:00,502.855,506.54,500.86,504.44,117074.0
2025-11-19 05:00:00+00:00,503.49,503.945,495.63,501.315,89547.0
2025-11-20 05:00:00+00:00,502.79,506.26,500.96,501.64,145843.0
2025-11-21 05:00:00+00:00,503.755,507.465,502.495,504.15,134709.0
2025-11-24 05:00:00+00:00,503.94,509.19,497.415,507.775,222032.0
2025-11-25 05:00:00+00:00,509.13,512.305,506.975,508.57,94150.0
2025-11-26 05:00:00+00:00,509.5,512.61,507.91,511.33,90488.0
2025-11-28 05:00:00+00:00,512.15,516.78,511.74,513.99,54017.0
2025-12-01 05:00:00+00:00,513.35,514.38,508.24,508.68,87630.0
2025-12-02 05:00:00+00:00,507.065,508.08,503.12,506.66,92069.0
2025-12-03 05:00:00+00:00,507.59,509.125,504.14,504.28,76415.0
2025-12-04 05:00:00+00:00,505.325,506.435,500.79,503.3,82737.0
2025-12-05 05:00:00+00:00,501.425,505.68,501.425,504.22,78546.0
2025-12-08 05:00:00+00:00,502.07,502.82,490.75,497.16,173889.0
2025-12-09 05:00:00+00:00,498.755,498.97,490.86,491.44,73072.0
2025-12-10 05:00:00+00:00,490.54,495.88,488.985,490.46,131090.0
2025-12-11 05:00:00+00:00,492.86,497.985,492.8,495.67,102615.0
2025-12-12 05:00:00+00:00,497.15,499.84,494.83,499.51,84638.0
2025-12-15 05:00:00+00:00,500.99,506.58,500.5,506.35,89985.0
2025-12-16 05:00:00+00:00,507.505,507.835,499.455,499.74,85072.0
2025-12-17 05:00:00+00:00,499.52,505.18,499.52,504.35,84458.0
2025-12-18 05:00:00+00:00,502.6,505.39,501.065,503.56,99053.0
2025-12-19 05:00:00+00:00,503.055,503.14,495.02,495.56,113899.0
2025-12-22 05:00:00+00:00,496.05,500.31,495.62,499.65,77109.0
2025-12-23 05:00:00+00:00,500.32,502.18,498.18,500.51,84286.0
2025-12-24 05:00:00+00:00,500.02,501.475,499.27,501.235,32035.0
2025-12-26 05:00:00+00:00,500.455,501.47,496.92,498.5,48226.0
2025-12-29 05:00:00+00:00,499.79,501.48,497.52,501.005,54785.0
2025-12-30 05:00:00+00:00,500.96,505.07,500.585,503.74,64329.0
2025-12-31 05:00:00+00:00,503.36,505.82,502.55,502.8,45507.0
2026-01-02 05:00:00+00:00,500.0,501.775,492.94,496.82,94381.0
2026-01-05 05:00:00+00:00,494.73,503.39,494.73,498.53,100958.0
2026-01-06 05:00:00+00:00,497.01,500.645,496.21,499.05,63708.0
2026-01-07 05:00:00+00:00,497.86,498.71,493.13,496.12,105863.0
2026-01-08 05:00:00+00:00,494.92,504.03,494.8,499.78,84610.0
2026-01-09 05:00:00+00:00,499.1,500.08,496.52,499.19,90284.0
2026-01-12 05:00:00+00:00,497.5,500.01,495.22,498.71,56076.0
2026-01-13 05:00:00+00:00,497.285,497.33,493.39,495.28,82508.0
2026-01-14 05:00:00+00:00,496.28,497.52,492.06,494.51,103000.0
2026-01-15 05:00:00+00:00,493.01,495.56,490.775,492.53,60002.0
2026-01-16 05:00:00+00:00,491.825,495.04,491.1,493.33,55037.0
2026-01-20 05:00:00+00:00,490.74,490.74,482.74,485.46,113525.0
2026-01-21 05:00:00+00:00,484.595,487.81,481.655,483.78,115791.0
2026-01-22 05:00:00+00:00,483.66,485.595,481.755,484.425,105691.0
2026-01-23 05:00:00+00:00,481.92,483.28,478.545,479.16,103959.0
2026-01-26 05:00:00+00:00,478.9,484.83,478.9,483.8,153358.0
2026-01-27 05:00:00+00:00,482.67,483.06,474.73,474.73,76822.0
2026-01-28 05:00:00+00:00,473.21,476.83,471.98,473.4,110844.0
2026-01-29 05:00:00+00:00,473.28,477.22,473.195,476.32,80554.0
2026-01-30 05:00:00+00:00,476.875,481.47,476.2,480.775,124575.0
