ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,95.49,97.44,95.49,96.78,430328.0
2025-10-27 04:00:00+00:00,97.15,99.13,97.05,98.9,370031.0
2025-10-28 04:00:00+00:00,98.78,99.42,98.07,99.3,334198.0
2025-10-29 04:00:00+00:00,99.19,99.75,96.98,97.13,468100.0
2025-10-30 04:00:00+00:00,96.65,99.34,96.29,98.17,379732.0
2025-10-31 04:00:00+00:00,97.84,99.37,97.71,99.11,437577.0
2025-11-03 05:00:00+00:00,98.71,100.09,97.58,100.09,509150.0
2025-11-04 05:00:00+00:00,98.8,101.0,97.22,99.5,450049.0
2025-11-05 05:00:00+00:00,99.54,100.75,97.56,100.2,410569.0
2025-11-06 05:00:00+00:00,100.21,100.81,98.49,99.42,419863.0
2025-11-07 05:00:00+00:00,98.52,99.31,95.93,99.3,688054.0
2025-11-10 05:00:00+00:00,99.85,101.34,98.82,99.94,491862.0
2025-11-11 05:00:00+00:00,100.32,100.53,98.83,99.22,588461.0
2025-11-12 05:00:00+00:00,99.7,102.31,99.7,101.34,785475.0
2025-11-13 05:00:00+00:00,101.17,102.01,98.99,99.17,471873.0
2025-11-14 05:00:00+00:00,98.11,99.98,96.72,98.8,426771.0
2025-11-17 05:00:00+00:00,98.53,98.65,95.79,96.74,389126.0
2025-11-18 05:00:00+00:00,95.93,98.09,94.97,96.92,415954.0
2025-11-19 05:00:00+00:00,96.99,99.08,96.65,98.33,365856.0
2025-11-20 05:00:00+00:00,99.56,101.3,96.03,96.21,604725.0
2025-11-21 05:00:00+00:00,96.67,97.84,94.42,97.27,565020.0
2025-11-24 05:00:00+00:00,97.43,99.11,97.17,98.22,495523.0
2025-11-25 05:00:00+00:00,98.86,100.17,98.07,99.66,428374.0
2025-11-26 05:00:00+00:00,99.95,101.76,99.95,100.98,398361.0
2025-11-28 05:00:00+00:00,101.19,102.82,101.08,102.06,166957.0
2025-12-01 05:00:00+00:00,101.57,102.8,100.89,101.17,350559.0
2025-12-02 05:00:00+00:00,101.91,102.61,101.58,101.65,387314.0
2025-12-03 05:00:00+00:00,101.57,105.39,101.57,105.15,566077.0
2025-12-04 05:00:00+00:00,105.19,107.07,105.13,106.23,633209.0
2025-12-05 05:00:00+00:00,106.07,107.74,105.94,107.27,687134.0
2025-12-08 05:00:00+00:00,107.5,108.59,106.15,107.32,430463.0
2025-12-09 05:00:00+00:00,107.42,108.2,105.48,107.82,706452.0
2025-12-10 05:00:00+00:00,107.67,110.24,107.65,109.38,389118.0
2025-12-11 05:00:00+00:00,109.79,110.65,109.46,110.07,525583.0
2025-12-12 05:00:00+00:00,111.57,111.57,109.55,110.13,578010.0
2025-12-15 05:00:00+00:00,110.78,111.82,110.57,111.13,574691.0
2025-12-16 05:00:00+00:00,111.12,111.67,108.93,109.65,620683.0
2025-12-17 05:00:00+00:00,110.23,111.32,109.32,109.79,335347.0
2025-12-18 05:00:00+00:00,110.55,112.16,110.46,111.17,463059.0
2025-12-19 05:00:00+00:00,111.73,113.88,111.68,113.18,683919.0
2025-12-22 05:00:00+00:00,113.35,116.88,113.35,116.33,493142.0
2025-12-23 05:00:00+00:00,116.48,118.47,116.39,117.59,580415.0
2025-12-24 05:00:00+00:00,117.82,120.98,117.67,119.74,536264.0
2025-12-26 05:00:00+00:00,119.82,120.18,117.91,118.6,473612.0
2025-12-29 05:00:00+00:00,118.51,118.72,116.23,116.29,458172.0
2025-12-30 05:00:00+00:00,116.54,116.65,114.85,115.46,383845.0
2025-12-31 05:00:00+00:00,115.65,115.85,114.64,114.94,200259.0
2026-01-02 05:00:00+00:00,115.55,116.92,114.89,116.91,430078.0
2026-01-05 05:00:00+00:00,117.53,122.25,117.53,121.45,608940.0
2026-01-06 05:00:00+00:00,121.84,122.3,120.41,120.67,407655.0
2026-01-07 05:00:00+00:00,120.39,120.76,118.94,119.56,499324.0
2026-01-08 05:00:00+00:00,119.08,120.59,118.4,118.82,665283.0
2026-01-09 05:00:00+00:00,119.05,119.92,118.39,119.5,300643.0
2026-01-12 05:00:00+00:00,115.25,116.94,114.96,115.93,932812.0
2026-01-13 05:00:00+00:00,116.33,116.42,113.83,114.61,918872.0
2026-01-14 05:00:00+00:00,116.16,116.98,108.83,110.69,1265850.0
2026-01-15 05:00:00+00:00,111.87,116.19,111.87,115.7,891812.0
2026-01-16 05:00:00+00:00,116.04,117.57,115.28,116.24,738084.0
2026-01-20 05:00:00+00:00,112.76,114.78,110.73,111.16,1039208.0
2026-01-21 05:00:00+00:00,111.77,113.83,111.63,112.18,615651.0
2026-01-22 05:00:00+00:00,114.06,114.89,112.38,113.92,481537.0
2026-01-23 05:00:00+00:00,113.19,113.86,111.52,111.92,492441.0
2026-01-26 05:00:00+00:00,112.21,113.74,112.21,113.11,337705.0
2026-01-27 05:00:00+00:00,113.09,114.23,112.01,113.08,337298.0
2026-01-28 05:00:00+00:00,112.91,113.96,111.49,112.42,423015.0
2026-01-29 05:00:00+00:00,113.43,114.61,111.73,113.46,340267.0
2026-01-30 05:00:00+00:00,112.61,114.91,112.58,113.99,603712.0
2026-02-02 05:00:00+00:00,114.08,115.81,113.54,115.1,746586.0
2026-02-03 05:00:00+00:00,115.67,117.71,114.28,116.55,454599.0
2026-02-04 05:00:00+00:00,116.91,118.74,115.8,116.27,605089.0
2026-02-05 05:00:00+00:00,114.84,115.14,111.84,114.61,733705.0
2026-02-06 05:00:00+00:00,116.56,121.76,116.56,121.46,724509.0
2026-02-09 05:00:00+00:00,120.93,123.94,120.92,122.53,554361.0
2026-02-10 05:00:00+00:00,122.51,123.68,118.35,120.98,538368.0
2026-02-11 05:00:00+00:00,122.38,122.98,116.23,116.23,628334.0
2026-02-12 05:00:00+00:00,116.86,117.94,109.91,110.05,627190.0
2026-02-13 05:00:00+00:00,108.6,110.33,107.34,109.77,928932.0
2026-02-17 05:00:00+00:00,111.56,113.34,111.56,112.72,570514.0
2026-02-18 05:00:00+00:00,114.02,115.88,114.02,115.12,566097.0
2026-02-19 05:00:00+00:00,113.79,114.78,113.08,114.41,432715.0
2026-02-20 05:00:00+00:00,113.73,114.98,112.75,114.89,434153.0
2026-02-23 05:00:00+00:00,114.22,115.73,107.8,109.68,379367.0
2026-02-24 05:00:00+00:00,108.38,110.28,106.51,108.45,513969.0
2026-02-25 05:00:00+00:00,110.54,113.38,110.13,113.23,452706.0
2026-02-26 05:00:00+00:00,114.35,115.84,113.39,115.08,389081.0
2026-02-27 05:00:00+00:00,111.86,111.99,107.63,109.12,990909.0
2026-03-02 05:00:00+00:00,105.99,110.79,105.99,110.32,640451.0
2026-03-03 05:00:00+00:00,106.35,111.26,105.74,109.66,473872.0
2026-03-04 05:00:00+00:00,110.58,111.08,109.41,110.26,312721.0
2026-03-05 05:00:00+00:00,110.01,110.35,106.86,107.87,454816.0
2026-03-06 05:00:00+00:00,103.98,105.55,102.15,105.51,565614.0
2026-03-09 04:00:00+00:00,103.13,106.0,101.11,105.54,450995.0
2026-03-10 04:00:00+00:00,107.82,109.81,106.34,107.91,760865.0
2026-03-11 04:00:00+00:00,107.45,108.47,106.44,108.08,478707.0
2026-03-12 04:00:00+00:00,104.8,105.96,103.67,104.54,717055.0
2026-03-13 04:00:00+00:00,105.06,106.84,104.38,104.67,398905.0
2026-03-16 04:00:00+00:00,106.14,107.61,105.59,106.31,491822.0
2026-03-17 04:00:00+00:00,108.2,108.66,106.4,106.65,540501.0
2026-03-18 04:00:00+00:00,106.26,108.41,106.26,107.58,519502.0
2026-03-19 04:00:00+00:00,106.25,109.49,105.82,108.79,980969.0
2026-03-20 04:00:00+00:00,109.15,110.13,107.81,108.46,669369.0
2026-03-23 04:00:00+00:00,111.9,112.29,109.96,110.55,578177.0
2026-03-24 04:00:00+00:00,109.1,113.65,108.61,112.64,477589.0
2026-03-25 04:00:00+00:00,114.25,114.96,112.48,113.38,524934.0
2026-03-26 04:00:00+00:00,112.59,113.59,110.51,111.3,474529.0
2026-03-27 04:00:00+00:00,109.48,110.72,105.92,106.26,737300.0
2026-03-30 04:00:00+00:00,107.4,108.23,105.49,106.23,655415.0
2026-03-31 04:00:00+00:00,108.05,112.64,107.34,112.31,842854.0
2026-04-01 04:00:00+00:00,114.75,115.57,113.01,114.21,395167.0
2026-04-02 04:00:00+00:00,111.52,114.46,110.71,114.12,441362.0
2026-04-06 04:00:00+00:00,115.6,116.51,115.06,116.22,220421.0
2026-04-07 04:00:00+00:00,115.46,116.53,114.63,116.0,421931.0
2026-04-08 04:00:00+00:00,120.82,123.21,120.56,122.32,598650.0
2026-04-09 04:00:00+00:00,121.5,124.26,121.2,123.71,389833.0
2026-04-10 04:00:00+00:00,124.02,124.24,122.47,123.18,362829.0
2026-04-13 04:00:00+00:00,122.0,125.07,121.16,125.05,539463.0
2026-04-14 04:00:00+00:00,127.0,129.69,125.65,128.33,696391.0
2026-04-15 04:00:00+00:00,130.69,131.38,129.37,130.38,521476.0
2026-04-16 04:00:00+00:00,130.23,131.41,127.97,128.07,488666.0
2026-04-17 04:00:00+00:00,129.91,132.25,129.91,130.91,345614.0
2026-04-20 04:00:00+00:00,131.02,132.14,130.51,131.72,312507.0
2026-04-21 04:00:00+00:00,132.29,133.91,130.02,130.36,358606.0
2026-04-22 04:00:00+00:00,131.12,131.12,128.14,128.45,298856.0
2026-04-23 04:00:00+00:00,128.23,128.65,125.63,127.22,271724.0
2026-04-24 04:00:00+00:00,126.84,127.76,126.28,126.73,255949.0
2026-04-27 04:00:00+00:00,126.82,128.13,126.57,127.88,262276.0
2026-04-28 04:00:00+00:00,129.2,130.03,126.76,127.28,442891.0
2026-04-29 04:00:00+00:00,127.3,127.52,125.35,126.35,395378.0
2026-04-30 04:00:00+00:00,125.89,127.66,125.52,126.76,420076.0
2026-05-01 04:00:00+00:00,126.91,129.19,125.71,126.18,452760.0
2026-05-04 04:00:00+00:00,126.21,126.34,123.98,124.98,417209.0
2026-05-05 04:00:00+00:00,125.63,127.92,125.53,127.42,605869.0
2026-05-06 04:00:00+00:00,130.02,130.91,126.85,126.94,480892.0
2026-05-07 04:00:00+00:00,127.71,130.56,126.45,128.42,1235044.0
2026-05-08 04:00:00+00:00,129.45,131.25,124.6,124.91,748526.0
2026-05-11 04:00:00+00:00,125.17,127.43,124.09,125.23,382208.0
2026-05-12 04:00:00+00:00,124.55,125.9,122.79,125.82,313712.0
2026-05-13 04:00:00+00:00,123.93,125.2,123.13,123.46,346663.0
2026-05-14 04:00:00+00:00,124.44,125.36,122.88,124.19,219292.0
2026-05-15 04:00:00+00:00,123.52,123.66,122.15,122.76,295127.0
2026-05-18 04:00:00+00:00,122.7,123.82,121.2,121.72,415455.0
2026-05-19 04:00:00+00:00,120.84,120.84,119.15,119.39,528581.0
2026-05-20 04:00:00+00:00,120.42,124.65,119.32,124.16,548994.0
2026-05-21 04:00:00+00:00,123.43,124.78,122.68,124.54,214832.0
2026-05-22 04:00:00+00:00,125.22,125.66,124.26,124.43,276496.0
2026-05-26 04:00:00+00:00,125.65,126.72,124.63,126.19,511366.0
2026-05-27 04:00:00+00:00,126.75,127.0,123.84,124.73,589371.0
2026-05-28 04:00:00+00:00,124.02,124.67,122.64,123.97,562947.0
2026-05-29 04:00:00+00:00,124.03,126.2,122.95,125.24,640474.0
2026-06-01 04:00:00+00:00,123.38,128.42,123.01,128.41,550848.0
2026-06-02 04:00:00+00:00,128.44,131.77,128.44,130.59,653740.0
2026-06-03 04:00:00+00:00,129.87,130.93,127.63,129.31,711888.0
2026-06-04 04:00:00+00:00,130.6,134.98,130.32,134.46,586208.0
2026-06-05 04:00:00+00:00,134.75,134.89,130.55,131.8,548578.0
2026-06-08 04:00:00+00:00,132.81,134.19,132.36,132.62,517157.0
2026-06-09 04:00:00+00:00,134.28,135.06,131.28,134.01,517036.0
2026-06-10 04:00:00+00:00,133.66,136.37,131.91,132.75,733972.0
2026-06-11 04:00:00+00:00,133.72,137.51,133.31,137.34,504121.0
2026-06-12 04:00:00+00:00,138.42,140.37,137.58,139.07,311322.0
2026-06-15 04:00:00+00:00,141.78,142.77,140.18,140.47,679950.0
2026-06-16 04:00:00+00:00,142.68,142.68,140.36,142.27,766756.0
2026-06-17 04:00:00+00:00,142.89,145.71,142.32,143.07,569752.0
2026-06-18 04:00:00+00:00,146.27,147.12,142.34,142.36,1010083.0
2026-06-22 04:00:00+00:00,144.47,145.63,144.03,144.99,479751.0
2026-06-23 04:00:00+00:00,143.4,145.38,142.59,144.32,583064.0
2026-06-24 04:00:00+00:00,144.26,145.09,142.52,142.95,470702.0
2026-06-25 04:00:00+00:00,144.68,147.04,144.08,144.24,705756.0
2026-06-26 04:00:00+00:00,143.04,143.04,140.09,141.07,623964.0
