ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,132.25,133.76,130.48,131.84,381696.0
2025-10-27 04:00:00+00:00,133.08,133.35,131.5,132.46,188256.0
2025-10-28 04:00:00+00:00,134.15,138.29,134.15,136.66,442024.0
2025-10-29 04:00:00+00:00,134.98,137.07,133.99,136.36,145052.0
2025-10-30 04:00:00+00:00,135.79,137.25,133.58,134.71,243628.0
2025-10-31 04:00:00+00:00,135.48,137.37,134.49,135.79,259416.0
2025-11-03 05:00:00+00:00,137.37,138.93,136.34,137.99,267772.0
2025-11-04 05:00:00+00:00,134.55,137.24,132.82,133.48,291324.0
2025-11-05 05:00:00+00:00,133.01,133.78,131.62,133.51,218172.0
2025-11-06 05:00:00+00:00,131.38,134.98,129.34,133.21,445948.0
2025-11-07 05:00:00+00:00,131.59,135.53,129.94,134.95,369608.0
2025-11-10 05:00:00+00:00,136.94,139.65,136.14,139.4,219228.0
2025-11-11 05:00:00+00:00,138.65,139.47,137.96,139.18,126952.0
2025-11-12 05:00:00+00:00,140.64,141.71,136.34,136.45,175900.0
2025-11-13 05:00:00+00:00,135.19,135.79,131.59,132.47,230056.0
2025-11-14 05:00:00+00:00,130.62,135.93,127.45,134.38,188236.0
2025-11-17 05:00:00+00:00,133.97,135.06,131.71,132.44,141056.0
2025-11-18 05:00:00+00:00,130.99,132.41,128.25,128.39,216316.0
2025-11-19 05:00:00+00:00,127.87,131.35,127.53,130.04,152720.0
2025-11-20 05:00:00+00:00,133.26,134.71,125.08,125.3,260876.0
2025-11-21 05:00:00+00:00,124.17,124.97,119.51,122.66,395888.0
2025-11-24 05:00:00+00:00,124.5,127.25,123.62,126.68,249872.0
2025-11-25 05:00:00+00:00,126.11,128.39,123.44,128.11,198860.0
2025-11-26 05:00:00+00:00,128.19,128.36,124.41,125.35,339996.0
2025-11-28 05:00:00+00:00,126.38,127.64,125.5,127.23,118280.0
2025-12-01 05:00:00+00:00,125.73,126.56,123.83,126.05,247568.0
2025-12-02 05:00:00+00:00,127.98,130.2,126.78,129.18,609172.0
2025-12-03 05:00:00+00:00,124.5,131.13,121.81,131.13,549484.0
2025-12-04 05:00:00+00:00,131.21,131.22,127.59,128.26,302728.0
2025-12-05 05:00:00+00:00,129.29,131.65,127.1,128.01,387776.0
2025-12-08 05:00:00+00:00,128.32,130.0,127.24,128.78,270108.0
