ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,79.66,80.27,79.26,80.03,430148.0
2025-10-27 04:00:00+00:00,79.45,80.67,79.06,80.56,392392.0
2025-10-28 04:00:00+00:00,81.72,81.72,79.78,80.33,641316.0
2025-10-29 04:00:00+00:00,80.53,83.17,78.57,78.84,721613.0
2025-10-30 04:00:00+00:00,74.35,77.0,74.35,74.93,852533.0
2025-10-31 04:00:00+00:00,74.75,76.43,74.4,76.37,510705.0
2025-11-03 05:00:00+00:00,76.23,76.98,75.67,76.65,428990.0
2025-11-04 05:00:00+00:00,76.56,77.49,75.79,76.27,321024.0
2025-11-05 05:00:00+00:00,76.15,77.43,76.15,76.78,264469.0
2025-11-06 05:00:00+00:00,77.42,78.04,76.75,76.84,339453.0
2025-11-07 05:00:00+00:00,77.37,77.62,76.51,77.19,203556.0
2025-11-10 05:00:00+00:00,76.32,77.71,74.75,75.76,347941.0
2025-11-11 05:00:00+00:00,76.27,78.07,75.89,78.05,333008.0
2025-11-12 05:00:00+00:00,77.83,79.84,77.83,78.44,516057.0
2025-11-13 05:00:00+00:00,77.37,78.14,76.77,77.42,626895.0
2025-11-14 05:00:00+00:00,77.47,77.9,75.98,75.98,259033.0
2025-11-17 05:00:00+00:00,76.12,77.99,76.01,76.54,326726.0
2025-11-18 05:00:00+00:00,76.54,76.61,75.59,76.16,290908.0
2025-11-19 05:00:00+00:00,76.16,76.16,74.56,74.79,342579.0
2025-11-20 05:00:00+00:00,75.37,75.71,74.23,74.31,276947.0
2025-11-21 05:00:00+00:00,74.57,76.44,74.57,76.26,222268.0
2025-11-24 05:00:00+00:00,77.01,77.01,75.49,76.13,276189.0
2025-11-25 05:00:00+00:00,76.64,77.11,76.55,76.69,202716.0
2025-11-26 05:00:00+00:00,76.77,78.75,76.6,78.07,231932.0
2025-11-28 05:00:00+00:00,78.25,78.57,77.94,78.48,87753.0
2025-12-01 05:00:00+00:00,78.1,79.21,77.19,77.32,364837.0
2025-12-02 05:00:00+00:00,77.41,77.41,75.43,75.85,424847.0
2025-12-03 05:00:00+00:00,75.9,76.02,73.29,73.32,383219.0
