ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,111.61,112.0,110.0,110.09,282911.0
2025-10-27 04:00:00+00:00,110.31,110.96,109.78,110.75,254440.0
2025-10-28 04:00:00+00:00,110.3,110.87,109.89,110.08,261537.0
2025-10-29 04:00:00+00:00,109.42,109.93,108.48,108.59,201400.0
2025-10-30 04:00:00+00:00,108.51,111.95,108.11,110.23,283632.0
2025-10-31 04:00:00+00:00,109.84,111.48,109.08,111.02,273574.0
2025-11-03 05:00:00+00:00,110.9,111.08,109.45,110.52,293199.0
2025-11-04 05:00:00+00:00,109.39,110.16,109.1,109.87,211974.0
2025-11-05 05:00:00+00:00,109.86,110.37,109.13,109.76,154583.0
2025-11-06 05:00:00+00:00,109.83,110.12,107.63,108.9,364916.0
2025-11-07 05:00:00+00:00,108.56,109.82,108.53,109.14,379704.0
2025-11-10 05:00:00+00:00,109.56,111.18,109.52,110.64,343873.0
2025-11-11 05:00:00+00:00,111.16,113.33,110.86,113.19,509096.0
2025-11-12 05:00:00+00:00,113.06,115.41,113.06,115.0,483488.0
2025-11-13 05:00:00+00:00,107.57,107.73,103.42,106.05,1462626.0
2025-11-14 05:00:00+00:00,105.99,107.16,103.82,104.28,729272.0
2025-11-17 05:00:00+00:00,104.24,106.07,103.63,104.19,591306.0
2025-11-18 05:00:00+00:00,103.69,105.52,103.64,104.79,508520.0
2025-11-19 05:00:00+00:00,104.76,106.01,102.6,103.14,667015.0
2025-11-20 05:00:00+00:00,103.87,104.28,101.11,101.25,500945.0
2025-11-21 05:00:00+00:00,102.24,103.27,101.23,102.78,447596.0
2025-11-24 05:00:00+00:00,102.6,102.78,100.45,100.47,326666.0
2025-11-25 05:00:00+00:00,101.02,102.4,101.02,101.82,337934.0
2025-11-26 05:00:00+00:00,101.84,102.76,101.45,101.96,244248.0
2025-11-28 05:00:00+00:00,101.83,103.23,101.83,102.94,373025.0
2025-12-01 05:00:00+00:00,103.17,105.29,103.14,105.22,409852.0
2025-12-02 05:00:00+00:00,105.0,105.04,103.37,103.37,251436.0
2025-12-03 05:00:00+00:00,103.41,104.32,103.01,104.22,466119.0
2025-12-04 05:00:00+00:00,104.51,104.59,103.03,103.97,242594.0
2025-12-05 05:00:00+00:00,103.68,104.65,103.21,103.72,337696.0
2025-12-08 05:00:00+00:00,103.4,106.5,103.4,106.12,364284.0
2025-12-09 05:00:00+00:00,106.09,106.09,105.03,105.53,216531.0
2025-12-10 05:00:00+00:00,105.64,108.1,105.06,107.25,560350.0
2025-12-11 05:00:00+00:00,107.64,109.95,107.55,109.87,479217.0
2025-12-12 05:00:00+00:00,110.14,111.72,109.57,109.97,625840.0
2025-12-15 05:00:00+00:00,109.86,110.68,109.24,109.62,477350.0
2025-12-16 05:00:00+00:00,110.37,111.98,110.19,110.78,450925.0
2025-12-17 05:00:00+00:00,110.16,111.27,109.62,109.76,360736.0
2025-12-18 05:00:00+00:00,109.92,111.93,109.62,111.02,416790.0
2025-12-19 05:00:00+00:00,111.58,112.59,110.11,110.39,414794.0
2025-12-22 05:00:00+00:00,110.89,111.86,110.32,111.49,307708.0
2025-12-23 05:00:00+00:00,111.62,112.44,111.2,112.33,235072.0
2025-12-24 05:00:00+00:00,112.31,113.64,112.24,113.59,116509.0
2025-12-26 05:00:00+00:00,113.39,113.74,112.42,112.69,204325.0
2025-12-29 05:00:00+00:00,112.58,113.61,112.58,113.32,241526.0
2025-12-30 05:00:00+00:00,113.25,114.4,113.25,113.95,182409.0
2025-12-31 05:00:00+00:00,114.02,114.02,112.7,112.88,234618.0
2026-01-02 05:00:00+00:00,112.58,112.58,110.79,111.0,353770.0
2026-01-05 05:00:00+00:00,110.78,115.14,110.78,113.21,485867.0
2026-01-06 05:00:00+00:00,112.95,113.87,112.29,113.71,313756.0
2026-01-07 05:00:00+00:00,113.59,114.09,111.66,112.08,299677.0
2026-01-08 05:00:00+00:00,111.98,114.1,111.94,113.29,311187.0
2026-01-09 05:00:00+00:00,113.75,115.09,113.05,114.98,447035.0
2026-01-12 05:00:00+00:00,113.88,113.88,111.7,111.97,391567.0
2026-01-13 05:00:00+00:00,111.95,112.27,110.8,112.13,256286.0
2026-01-14 05:00:00+00:00,112.18,112.72,111.42,112.61,347407.0
2026-01-15 05:00:00+00:00,113.03,113.19,111.35,112.54,309925.0
2026-01-16 05:00:00+00:00,112.48,112.87,110.3,110.36,364253.0
2026-01-20 05:00:00+00:00,108.94,110.22,107.98,109.48,343201.0
2026-01-21 05:00:00+00:00,109.75,112.38,109.75,112.37,509060.0
2026-01-22 05:00:00+00:00,112.3,113.42,111.34,112.37,449628.0
2026-01-23 05:00:00+00:00,111.83,111.88,109.72,110.11,513928.0
2026-01-26 05:00:00+00:00,111.16,111.55,110.39,110.47,233530.0
2026-01-27 05:00:00+00:00,110.82,110.85,109.21,109.75,305408.0
2026-01-28 05:00:00+00:00,110.18,110.42,108.18,108.76,312189.0
2026-01-29 05:00:00+00:00,108.88,110.81,107.97,110.69,427275.0
2026-01-30 05:00:00+00:00,110.69,112.08,110.17,111.98,680582.0
2026-02-02 05:00:00+00:00,103.76,107.77,103.06,103.71,1084692.0
