ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,12.18,13.35,12.15,13.22,14664951.0
2025-10-27 04:00:00+00:00,13.14,13.14,12.62,12.64,6318563.0
2025-10-28 04:00:00+00:00,12.63,12.69,12.46,12.55,4248725.0
2025-10-29 04:00:00+00:00,12.5,12.79,12.49,12.66,3349965.0
2025-10-30 04:00:00+00:00,12.56,12.69,12.48,12.49,2652144.0
2025-10-31 04:00:00+00:00,12.45,12.57,12.42,12.55,2245408.0
2025-11-03 05:00:00+00:00,12.51,12.51,12.33,12.45,2258026.0
2025-11-04 05:00:00+00:00,12.33,12.35,12.19,12.23,2193755.0
2025-11-05 05:00:00+00:00,12.35,12.71,12.31,12.55,2504267.0
2025-11-06 05:00:00+00:00,12.57,12.66,12.4,12.55,2679855.0
2025-11-07 05:00:00+00:00,12.53,12.79,12.52,12.77,2135024.0
2025-11-10 05:00:00+00:00,12.79,12.79,12.56,12.72,1650056.0
2025-11-11 05:00:00+00:00,12.77,12.99,12.77,12.85,2417533.0
2025-11-12 05:00:00+00:00,12.86,13.04,12.86,12.99,1712964.0
2025-11-13 05:00:00+00:00,12.96,13.04,12.81,12.84,1995773.0
2025-11-14 05:00:00+00:00,12.74,12.86,12.66,12.76,2602617.0
2025-11-17 05:00:00+00:00,12.71,12.72,12.36,12.45,3049370.0
2025-11-18 05:00:00+00:00,12.44,12.65,12.33,12.6,3259584.0
2025-11-19 05:00:00+00:00,12.6,12.71,12.43,12.46,1759840.0
2025-11-20 05:00:00+00:00,12.49,12.56,11.97,11.99,6412672.0
2025-11-21 05:00:00+00:00,12.09,12.5,12.08,12.41,4070144.0
2025-11-24 05:00:00+00:00,12.44,12.54,12.4,12.51,1719428.0
2025-11-25 05:00:00+00:00,12.55,12.81,12.55,12.72,2014184.0
2025-11-26 05:00:00+00:00,12.71,12.82,12.68,12.73,1216304.0
2025-11-28 05:00:00+00:00,12.75,12.89,12.75,12.81,1510469.0
2025-12-01 05:00:00+00:00,12.75,12.93,12.69,12.72,1993779.0
2025-12-02 05:00:00+00:00,12.74,12.74,12.44,12.52,3163007.0
2025-12-03 05:00:00+00:00,12.55,12.7,12.54,12.67,1530628.0
2025-12-04 05:00:00+00:00,12.75,12.8,12.62,12.7,1534274.0
2025-12-05 05:00:00+00:00,12.71,12.84,12.57,12.57,2536450.0
2025-12-08 05:00:00+00:00,12.61,12.72,12.52,12.71,1758962.0
2025-12-09 05:00:00+00:00,12.69,12.78,12.63,12.64,1398880.0
2025-12-10 05:00:00+00:00,12.68,12.97,12.65,12.96,2716301.0
2025-12-11 05:00:00+00:00,12.94,13.22,12.86,13.17,2835330.0
2025-12-12 05:00:00+00:00,13.24,13.38,13.22,13.29,2282052.0
2025-12-15 05:00:00+00:00,13.32,13.34,13.04,13.19,1780847.0
2025-12-16 05:00:00+00:00,13.3,13.52,13.12,13.2,3013198.0
2025-12-17 05:00:00+00:00,13.18,13.18,12.84,12.87,2468003.0
2025-12-18 05:00:00+00:00,12.94,13.01,12.81,12.85,1896257.0
2025-12-19 05:00:00+00:00,12.89,13.02,12.84,13.0,1326915.0
2025-12-22 05:00:00+00:00,13.06,13.14,12.98,13.0,1305529.0
2025-12-23 05:00:00+00:00,12.98,12.99,12.84,12.85,823027.0
2025-12-24 05:00:00+00:00,12.87,12.92,12.81,12.89,601526.0
2025-12-26 05:00:00+00:00,12.89,12.93,12.82,12.86,1011881.0
2025-12-29 05:00:00+00:00,12.83,12.86,12.8,12.84,984115.0
2025-12-30 05:00:00+00:00,12.84,12.84,12.76,12.8,800792.0
2025-12-31 05:00:00+00:00,12.76,12.77,12.69,12.7,890713.0
2026-01-02 05:00:00+00:00,12.74,12.94,12.63,12.87,1632020.0
2026-01-05 05:00:00+00:00,12.83,13.03,12.76,13.02,2073215.0
2026-01-06 05:00:00+00:00,13.03,13.39,12.89,13.33,3369771.0
2026-01-07 05:00:00+00:00,13.33,13.35,13.13,13.27,1728155.0
2026-01-08 05:00:00+00:00,13.42,14.0,13.42,13.91,5311305.0
2026-01-09 05:00:00+00:00,13.86,13.92,13.61,13.72,2420149.0
2026-01-12 05:00:00+00:00,13.68,13.71,13.49,13.56,2084070.0
2026-01-13 05:00:00+00:00,13.62,13.65,13.49,13.51,2211823.0
2026-01-14 05:00:00+00:00,13.57,13.65,13.33,13.37,2448520.0
2026-01-15 05:00:00+00:00,13.45,13.65,13.33,13.35,1747610.0
2026-01-16 05:00:00+00:00,13.3,13.33,13.14,13.15,3521189.0
2026-01-20 05:00:00+00:00,13.01,13.15,12.79,12.84,2737198.0
2026-01-21 05:00:00+00:00,12.99,13.3,12.98,13.29,2578025.0
2026-01-22 05:00:00+00:00,13.31,13.38,13.25,13.25,1456484.0
2026-01-23 05:00:00+00:00,13.21,13.23,13.1,13.11,1625570.0
2026-01-26 05:00:00+00:00,13.11,13.19,12.9,12.99,2199130.0
2026-01-27 05:00:00+00:00,13.17,13.48,13.06,13.45,5189952.0
2026-01-28 05:00:00+00:00,13.42,13.42,13.3,13.35,2464060.0
2026-01-29 05:00:00+00:00,13.45,13.61,13.33,13.52,3363554.0
2026-01-30 05:00:00+00:00,13.44,13.51,13.33,13.41,2409172.0
2026-02-02 05:00:00+00:00,13.41,13.43,13.28,13.34,2147026.0
2026-02-03 05:00:00+00:00,13.34,13.56,13.15,13.25,3708928.0
2026-02-04 05:00:00+00:00,13.31,13.53,13.27,13.36,2800526.0
2026-02-05 05:00:00+00:00,13.31,13.35,13.08,13.25,3590733.0
2026-02-06 05:00:00+00:00,13.32,13.41,13.21,13.34,2475020.0
2026-02-09 05:00:00+00:00,13.3,13.31,13.08,13.13,2659647.0
2026-02-10 05:00:00+00:00,13.18,13.27,13.12,13.13,3136328.0
2026-02-11 05:00:00+00:00,13.19,13.42,13.07,13.34,4120730.0
2026-02-12 05:00:00+00:00,13.42,13.87,13.42,13.52,4921100.0
2026-02-13 05:00:00+00:00,13.57,14.0,13.55,13.78,3914691.0
2026-02-17 05:00:00+00:00,13.77,13.84,13.61,13.8,2872393.0
2026-02-18 05:00:00+00:00,13.77,13.8,13.49,13.52,2851150.0
2026-02-19 05:00:00+00:00,13.46,13.62,13.38,13.46,2679595.0
2026-02-20 05:00:00+00:00,13.48,13.71,13.4,13.69,2872323.0
2026-02-23 05:00:00+00:00,13.67,13.71,13.26,13.33,3391619.0
2026-02-24 05:00:00+00:00,13.46,13.99,13.46,13.86,3001126.0
2026-02-25 05:00:00+00:00,13.95,14.16,13.83,14.11,2536576.0
2026-02-26 05:00:00+00:00,14.12,14.45,13.98,14.08,3186894.0
2026-02-27 05:00:00+00:00,14.03,14.23,13.71,13.77,3535107.0
2026-03-02 05:00:00+00:00,13.58,13.58,12.93,13.06,5003114.0
2026-03-03 05:00:00+00:00,12.75,12.88,12.39,12.42,5100570.0
2026-03-04 05:00:00+00:00,12.65,12.85,12.51,12.51,4076159.0
2026-03-05 05:00:00+00:00,12.39,12.45,11.96,12.06,3962029.0
2026-03-06 05:00:00+00:00,11.89,12.04,11.75,11.86,3142819.0
2026-03-09 04:00:00+00:00,11.67,11.91,11.53,11.89,4100993.0
2026-03-10 04:00:00+00:00,11.95,12.22,11.91,11.97,3238001.0
2026-03-11 04:00:00+00:00,11.99,12.2,11.76,11.82,2302679.0
2026-03-12 04:00:00+00:00,11.67,11.9,11.6,11.77,3255868.0
2026-03-13 04:00:00+00:00,11.83,11.83,11.38,11.41,2132974.0
2026-03-16 04:00:00+00:00,11.54,11.6,11.38,11.46,2454596.0
2026-03-17 04:00:00+00:00,11.59,11.75,11.57,11.67,2790630.0
2026-03-18 04:00:00+00:00,11.59,11.73,11.44,11.51,2970695.0
2026-03-19 04:00:00+00:00,11.41,11.47,11.22,11.37,2886087.0
2026-03-20 04:00:00+00:00,11.37,11.41,11.11,11.25,2597752.0
2026-03-23 04:00:00+00:00,11.62,11.73,11.45,11.51,1735795.0
2026-03-24 04:00:00+00:00,11.41,11.6,11.41,11.58,1252563.0
2026-03-25 04:00:00+00:00,11.68,11.72,11.39,11.4,2051723.0
2026-03-26 04:00:00+00:00,11.28,11.45,11.23,11.33,1159930.0
2026-03-27 04:00:00+00:00,11.24,11.25,11.03,11.08,1001604.0
