ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,211.86,219.59,209.86,218.77,544748.0
2025-10-27 04:00:00+00:00,224.59,224.59,215.66,219.92,484053.0
2025-10-28 04:00:00+00:00,218.68,222.64,217.43,221.7,308361.0
2025-10-29 04:00:00+00:00,228.83,231.88,225.93,226.32,524136.0
2025-10-30 04:00:00+00:00,226.09,227.14,220.54,223.84,438289.0
2025-10-31 04:00:00+00:00,227.53,230.97,218.67,223.54,401833.0
2025-11-03 05:00:00+00:00,233.65,237.3,231.66,234.4,394397.0
2025-11-04 05:00:00+00:00,221.95,228.19,217.36,217.85,473338.0
2025-11-05 05:00:00+00:00,225.08,239.62,224.74,237.18,743480.0
2025-11-06 05:00:00+00:00,237.6,246.06,234.66,238.16,719275.0
2025-11-07 05:00:00+00:00,234.05,242.26,226.28,237.67,673271.0
2025-11-10 05:00:00+00:00,247.83,256.75,247.82,252.97,674395.0
2025-11-11 05:00:00+00:00,247.91,249.62,239.43,240.91,490142.0
2025-11-12 05:00:00+00:00,244.66,248.82,240.65,244.77,359762.0
2025-11-13 05:00:00+00:00,243.34,249.02,230.05,236.73,578626.0
2025-11-14 05:00:00+00:00,231.2,254.85,231.2,246.62,825932.0
2025-11-17 05:00:00+00:00,246.51,260.13,239.27,241.64,1132360.0
2025-11-18 05:00:00+00:00,235.18,238.64,225.31,228.23,1252901.0
2025-11-19 05:00:00+00:00,226.76,233.9,216.24,225.68,1927284.0
2025-11-20 05:00:00+00:00,230.02,230.02,199.42,201.18,1831248.0
2025-11-21 05:00:00+00:00,204.33,211.74,192.43,207.16,1010543.0
2025-11-24 05:00:00+00:00,213.28,225.73,212.28,223.64,461953.0
2025-11-25 05:00:00+00:00,218.85,225.93,215.88,224.27,319101.0
2025-11-26 05:00:00+00:00,229.4,233.5,225.89,230.11,398808.0
2025-11-28 05:00:00+00:00,235.38,237.76,233.38,236.33,283956.0
2025-12-01 05:00:00+00:00,232.06,242.07,231.41,240.35,381563.0
2025-12-02 05:00:00+00:00,238.57,244.05,234.25,239.24,394475.0
2025-12-03 05:00:00+00:00,236.16,237.46,227.91,233.94,538659.0
2025-12-04 05:00:00+00:00,230.04,230.07,223.11,226.46,628464.0
2025-12-05 05:00:00+00:00,228.72,240.31,226.61,236.95,496357.0
2025-12-08 05:00:00+00:00,243.46,248.61,241.51,246.72,357865.0
2025-12-09 05:00:00+00:00,244.07,255.23,242.7,252.29,303561.0
2025-12-10 05:00:00+00:00,254.9,264.33,250.43,263.46,506237.0
2025-12-11 05:00:00+00:00,261.35,262.36,251.67,258.22,298153.0
2025-12-12 05:00:00+00:00,255.26,255.26,239.2,240.85,598513.0
2025-12-15 05:00:00+00:00,247.32,249.78,235.8,237.28,444085.0
2025-12-16 05:00:00+00:00,235.34,239.09,230.39,232.1,490951.0
2025-12-17 05:00:00+00:00,236.27,237.02,221.47,225.44,804944.0
2025-12-18 05:00:00+00:00,256.33,263.03,246.29,248.28,888156.0
2025-12-19 05:00:00+00:00,251.5,267.99,251.5,265.6,898861.0
2025-12-22 05:00:00+00:00,276.73,276.87,268.38,276.37,392300.0
2025-12-23 05:00:00+00:00,275.44,281.33,272.18,276.0,303737.0
2025-12-24 05:00:00+00:00,276.98,288.98,276.98,286.37,228800.0
2025-12-26 05:00:00+00:00,290.55,290.55,283.22,284.45,301083.0
2025-12-29 05:00:00+00:00,279.7,294.26,278.4,294.2,286563.0
2025-12-30 05:00:00+00:00,294.64,298.66,291.84,292.44,400141.0
2025-12-31 05:00:00+00:00,292.1,292.48,284.22,285.31,194185.0
2026-01-02 05:00:00+00:00,295.03,315.33,295.03,315.2,517844.0
2026-01-05 05:00:00+00:00,324.98,325.15,309.53,311.94,573075.0
2026-01-06 05:00:00+00:00,318.27,344.3,318.27,343.31,882573.0
2026-01-07 05:00:00+00:00,340.44,346.05,337.06,338.56,627184.0
2026-01-08 05:00:00+00:00,342.58,343.0,321.25,326.87,650395.0
2026-01-09 05:00:00+00:00,332.64,345.56,326.0,344.77,591810.0
2026-01-12 05:00:00+00:00,340.22,348.19,339.2,345.69,325236.0
2026-01-13 05:00:00+00:00,346.07,350.73,335.06,338.03,358331.0
2026-01-14 05:00:00+00:00,334.07,338.69,328.2,332.83,371592.0
2026-01-15 05:00:00+00:00,345.13,347.38,336.11,336.49,421138.0
2026-01-16 05:00:00+00:00,352.75,365.53,351.95,362.59,717861.0
2026-01-20 05:00:00+00:00,364.54,381.28,361.41,365.37,932395.0
2026-01-21 05:00:00+00:00,372.66,393.96,366.58,388.76,1128233.0
2026-01-22 05:00:00+00:00,396.16,397.55,376.78,397.37,645082.0
2026-01-23 05:00:00+00:00,396.83,411.76,391.47,399.4,358029.0
2026-01-26 05:00:00+00:00,395.36,397.6,384.19,388.85,692113.0
2026-01-27 05:00:00+00:00,402.41,416.14,399.77,409.95,578922.0
2026-01-28 05:00:00+00:00,422.19,438.59,417.19,434.85,662292.0
2026-01-29 05:00:00+00:00,437.87,444.33,417.7,435.68,698573.0
2026-01-30 05:00:00+00:00,445.91,454.96,406.93,414.74,873782.0
