ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,81.61,85.37,80.75,82.74,855686.0
2025-10-27 04:00:00+00:00,79.01,79.55,76.31,77.98,937847.0
2025-10-28 04:00:00+00:00,76.46,79.28,76.13,78.74,619070.0
2025-10-29 04:00:00+00:00,80.55,81.2,78.75,79.08,316816.0
2025-10-30 04:00:00+00:00,79.26,82.51,79.16,81.74,476001.0
2025-10-31 04:00:00+00:00,81.54,81.54,79.27,80.4,299994.0
2025-11-03 05:00:00+00:00,80.28,81.45,79.83,81.02,264182.0
2025-11-04 05:00:00+00:00,78.79,79.96,78.03,78.28,305973.0
2025-11-05 05:00:00+00:00,80.0,81.32,79.99,81.05,316863.0
2025-11-06 05:00:00+00:00,81.63,83.72,81.63,81.9,481983.0
2025-11-07 05:00:00+00:00,82.13,82.9,80.93,82.79,226094.0
2025-11-10 05:00:00+00:00,85.64,88.22,85.27,87.64,532166.0
2025-11-11 05:00:00+00:00,88.2,89.69,86.79,89.28,366208.0
2025-11-12 05:00:00+00:00,89.76,93.29,89.18,92.44,472132.0
2025-11-13 05:00:00+00:00,92.51,92.61,88.95,89.04,475826.0
2025-11-14 05:00:00+00:00,85.57,88.78,85.37,87.16,509346.0
2025-11-17 05:00:00+00:00,86.68,88.53,85.52,86.45,402855.0
2025-11-18 05:00:00+00:00,86.96,87.53,84.79,86.02,340231.0
2025-11-19 05:00:00+00:00,87.49,88.61,86.31,86.78,313607.0
2025-11-20 05:00:00+00:00,87.27,87.51,81.3,81.42,640228.0
2025-11-21 05:00:00+00:00,81.55,83.27,80.77,82.89,392546.0
2025-11-24 05:00:00+00:00,83.2,86.66,83.19,85.92,362579.0
2025-11-25 05:00:00+00:00,85.75,86.79,84.69,85.67,274206.0
2025-11-26 05:00:00+00:00,86.81,90.51,86.79,90.12,495070.0
2025-11-28 05:00:00+00:00,91.42,91.42,89.97,90.25,135385.0
2025-12-01 05:00:00+00:00,91.72,92.41,90.45,91.46,236805.0
2025-12-02 05:00:00+00:00,91.1,91.24,87.89,90.1,233267.0
2025-12-03 05:00:00+00:00,91.06,91.49,89.2,89.29,177692.0
2025-12-04 05:00:00+00:00,88.41,90.48,88.31,90.35,230423.0
2025-12-05 05:00:00+00:00,90.6,92.29,89.28,89.37,225005.0
2025-12-08 05:00:00+00:00,89.88,90.68,88.52,88.64,234423.0
2025-12-09 05:00:00+00:00,89.65,93.81,89.23,93.77,413048.0
2025-12-10 05:00:00+00:00,93.17,94.87,91.32,93.96,342512.0
2025-12-11 05:00:00+00:00,94.81,99.91,94.61,98.97,509289.0
2025-12-12 05:00:00+00:00,101.39,101.53,96.13,97.73,433533.0
2025-12-15 05:00:00+00:00,100.03,100.97,97.98,99.23,424671.0
2025-12-16 05:00:00+00:00,99.39,99.62,96.77,97.56,267228.0
2025-12-17 05:00:00+00:00,99.12,99.79,97.54,99.01,261549.0
2025-12-18 05:00:00+00:00,98.07,100.39,97.58,98.9,263499.0
2025-12-19 05:00:00+00:00,98.93,101.9,98.63,100.83,510249.0
2025-12-22 05:00:00+00:00,104.26,105.2,102.46,104.39,463434.0
2025-12-23 05:00:00+00:00,104.64,105.15,102.89,104.8,255338.0
2025-12-24 05:00:00+00:00,104.62,104.71,102.86,104.32,76724.0
2025-12-26 05:00:00+00:00,105.18,105.86,104.19,105.32,150830.0
2025-12-29 05:00:00+00:00,100.35,100.79,97.33,99.37,333990.0
2025-12-30 05:00:00+00:00,101.66,102.25,99.91,101.42,266768.0
2025-12-31 05:00:00+00:00,100.07,100.9,99.29,99.43,154318.0
2026-01-02 05:00:00+00:00,100.89,101.18,97.85,100.79,299021.0
2026-01-05 05:00:00+00:00,102.46,105.4,102.25,103.12,343216.0
2026-01-06 05:00:00+00:00,104.62,108.82,104.37,108.81,606535.0
2026-01-07 05:00:00+00:00,105.29,108.54,104.14,107.57,756002.0
2026-01-08 05:00:00+00:00,105.37,106.48,103.96,106.44,229311.0
2026-01-09 05:00:00+00:00,106.89,108.61,105.82,108.5,349328.0
2026-01-12 05:00:00+00:00,111.92,113.21,111.49,112.44,376939.0
2026-01-13 05:00:00+00:00,112.64,114.51,112.47,114.16,325404.0
2026-01-14 05:00:00+00:00,115.05,115.07,111.74,113.65,371216.0
2026-01-15 05:00:00+00:00,112.96,114.41,111.87,113.73,308699.0
2026-01-16 05:00:00+00:00,112.99,114.14,110.84,113.59,249611.0
2026-01-20 05:00:00+00:00,117.38,118.82,116.26,118.38,343613.0
2026-01-21 05:00:00+00:00,120.68,120.78,117.72,118.4,378737.0
2026-01-22 05:00:00+00:00,117.81,122.47,117.81,121.18,352315.0
2026-01-23 05:00:00+00:00,122.28,124.09,121.45,123.81,290699.0
2026-01-26 05:00:00+00:00,126.94,128.63,125.15,125.37,550262.0
2026-01-27 05:00:00+00:00,124.14,126.54,121.05,126.54,410662.0
2026-01-28 05:00:00+00:00,128.53,131.81,127.6,131.32,363265.0
2026-01-29 05:00:00+00:00,133.03,134.15,123.14,126.41,447664.0
2026-01-30 05:00:00+00:00,117.43,120.08,110.89,111.86,689275.0
2026-02-02 05:00:00+00:00,111.82,115.65,109.99,112.4,531279.0
2026-02-03 05:00:00+00:00,118.27,118.34,114.29,116.62,369100.0
2026-02-04 05:00:00+00:00,119.94,120.14,113.05,116.35,363779.0
2026-02-05 05:00:00+00:00,113.1,114.78,107.58,108.07,415077.0
2026-02-06 05:00:00+00:00,110.48,114.96,110.48,114.87,282495.0
2026-02-09 05:00:00+00:00,116.05,120.58,116.01,120.23,170813.0
2026-02-10 05:00:00+00:00,119.35,121.19,119.19,120.95,336880.0
2026-02-11 05:00:00+00:00,124.57,124.57,120.93,124.16,224069.0
2026-02-12 05:00:00+00:00,122.25,124.92,117.54,117.57,311613.0
2026-02-13 05:00:00+00:00,119.32,125.74,118.57,125.28,208917.0
2026-02-17 05:00:00+00:00,121.75,123.0,117.63,121.74,290952.0
2026-02-18 05:00:00+00:00,124.7,126.78,122.91,124.17,220534.0
2026-02-19 05:00:00+00:00,122.22,125.6,121.7,124.82,263890.0
2026-02-20 05:00:00+00:00,121.82,124.77,118.31,121.64,333003.0
2026-02-23 05:00:00+00:00,122.79,125.55,121.54,123.77,210018.0
2026-02-24 05:00:00+00:00,120.31,124.22,118.65,123.54,277678.0
2026-02-25 05:00:00+00:00,124.16,126.4,122.69,124.28,227102.0
2026-02-26 05:00:00+00:00,122.84,127.3,122.23,126.89,164447.0
