ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,600.37,600.37,590.57,599.2,36601.0
2025-10-27 04:00:00+00:00,595.43,595.43,588.15,589.23,27800.0
2025-10-28 04:00:00+00:00,587.21,591.64,584.88,587.85,39455.0
2025-10-29 04:00:00+00:00,583.18,587.18,576.46,578.36,42633.0
2025-10-30 04:00:00+00:00,579.06,584.88,571.17,571.92,61765.0
2025-10-31 04:00:00+00:00,573.7,579.46,569.83,577.05,43086.0
2025-11-03 05:00:00+00:00,573.73,574.47,565.09,568.61,40399.0
2025-11-04 05:00:00+00:00,567.09,572.89,562.42,570.39,38337.0
2025-11-05 05:00:00+00:00,568.15,572.62,563.51,563.66,34801.0
2025-11-06 05:00:00+00:00,563.75,571.2,563.75,565.37,30800.0
2025-11-07 05:00:00+00:00,565.04,565.04,556.0,562.02,45800.0
2025-11-10 05:00:00+00:00,558.27,559.1,551.19,556.3,78511.0
2025-11-11 05:00:00+00:00,557.74,564.15,553.07,560.42,49575.0
2025-11-12 05:00:00+00:00,557.84,561.97,552.05,552.16,81540.0
2025-11-13 05:00:00+00:00,554.34,556.66,550.57,551.46,61641.0
2025-11-14 05:00:00+00:00,550.06,555.04,547.27,551.52,45565.0
2025-11-17 05:00:00+00:00,553.82,556.48,550.03,556.34,73391.0
2025-11-18 05:00:00+00:00,557.65,566.19,557.65,559.95,59319.0
2025-11-19 05:00:00+00:00,554.2,560.48,552.05,558.27,64263.0
2025-11-20 05:00:00+00:00,562.16,566.25,557.33,560.84,54281.0
2025-11-21 05:00:00+00:00,559.86,564.88,557.04,560.28,54939.0
2025-11-24 05:00:00+00:00,556.81,559.5,553.55,559.05,42433.0
2025-11-25 05:00:00+00:00,560.29,567.46,560.12,562.77,47563.0
2025-11-26 05:00:00+00:00,564.16,565.08,560.72,560.72,22931.0
2025-11-28 05:00:00+00:00,562.24,566.95,560.21,566.11,29358.0
2025-12-01 05:00:00+00:00,564.2,564.2,539.55,540.86,44464.0
2025-12-02 05:00:00+00:00,543.57,546.73,541.42,542.77,40148.0
2025-12-03 05:00:00+00:00,545.23,550.32,542.76,549.78,32430.0
2025-12-04 05:00:00+00:00,549.71,555.24,547.74,548.72,30535.0
2025-12-05 05:00:00+00:00,547.34,547.45,540.21,544.68,40221.0
2025-12-08 05:00:00+00:00,545.01,549.26,542.43,549.17,32732.0
2025-12-09 05:00:00+00:00,552.19,553.1,546.33,546.57,23503.0
2025-12-10 05:00:00+00:00,544.87,554.35,543.57,551.1,29120.0
2025-12-11 05:00:00+00:00,554.15,564.36,553.2,555.59,44107.0
2025-12-12 05:00:00+00:00,558.19,567.03,558.05,565.24,39637.0
2025-12-15 05:00:00+00:00,565.4,571.07,564.53,571.03,25416.0
2025-12-16 05:00:00+00:00,567.51,568.78,561.95,564.53,33589.0
2025-12-17 05:00:00+00:00,557.77,567.47,553.6,559.84,30361.0
2025-12-18 05:00:00+00:00,560.7,564.62,553.95,554.8,41401.0
2025-12-19 05:00:00+00:00,553.98,566.53,553.76,564.23,40769.0
2025-12-22 05:00:00+00:00,565.66,580.58,565.66,580.16,37241.0
2025-12-23 05:00:00+00:00,578.71,579.29,573.24,575.46,30512.0
2025-12-24 05:00:00+00:00,576.75,581.92,576.75,578.28,15913.0
2025-12-26 05:00:00+00:00,577.27,577.28,571.22,572.68,16121.0
2025-12-29 05:00:00+00:00,574.2,576.22,572.86,573.61,16850.0
2025-12-30 05:00:00+00:00,574.33,575.12,570.09,570.09,17918.0
2025-12-31 05:00:00+00:00,571.79,572.48,565.98,566.01,16204.0
2026-01-02 05:00:00+00:00,565.61,580.87,560.23,580.72,23197.0
2026-01-05 05:00:00+00:00,589.47,606.17,589.47,606.13,46108.0
2026-01-06 05:00:00+00:00,608.29,614.35,602.44,605.86,47357.0
2026-01-07 05:00:00+00:00,612.49,612.49,570.44,571.55,86925.0
2026-01-08 05:00:00+00:00,611.84,633.1,581.7,586.24,165017.0
2026-01-09 05:00:00+00:00,590.33,615.05,588.68,614.51,70694.0
2026-01-12 05:00:00+00:00,622.68,630.76,620.84,624.68,63327.0
2026-01-13 05:00:00+00:00,634.35,634.95,615.22,620.29,67423.0
2026-01-14 05:00:00+00:00,620.7,649.15,620.13,648.33,65072.0
2026-01-15 05:00:00+00:00,639.02,653.32,628.88,649.66,55707.0
2026-01-16 05:00:00+00:00,653.18,664.23,652.77,661.86,41348.0
2026-01-20 05:00:00+00:00,662.71,669.65,648.5,652.35,40890.0
2026-01-21 05:00:00+00:00,654.63,664.57,649.71,659.15,62097.0
2026-01-22 05:00:00+00:00,656.6,666.03,655.32,665.1,24172.0
2026-01-23 05:00:00+00:00,669.9,669.9,664.36,667.66,21303.0
2026-01-26 05:00:00+00:00,665.52,665.52,654.36,655.49,84959.0
2026-01-27 05:00:00+00:00,647.92,676.92,632.25,673.59,81132.0
2026-01-28 05:00:00+00:00,670.64,685.17,659.97,683.88,58292.0
2026-01-29 05:00:00+00:00,692.53,700.11,682.48,689.52,53525.0
2026-01-30 05:00:00+00:00,691.69,691.69,676.29,687.15,44456.0
2026-02-02 05:00:00+00:00,682.9,684.59,670.98,680.53,67313.0
2026-02-03 05:00:00+00:00,687.16,702.27,683.12,699.87,42956.0
2026-02-04 05:00:00+00:00,698.22,699.93,673.5,684.49,76521.0
2026-02-05 05:00:00+00:00,677.18,696.93,677.18,691.36,38368.0
2026-02-06 05:00:00+00:00,694.69,706.08,694.69,704.24,25368.0
2026-02-09 05:00:00+00:00,706.61,709.75,693.01,693.01,41370.0
2026-02-10 05:00:00+00:00,697.01,697.01,679.64,679.82,64069.0
2026-02-11 05:00:00+00:00,675.5,682.09,670.21,673.68,41733.0
2026-02-12 05:00:00+00:00,677.95,691.27,677.47,689.41,77276.0
2026-02-13 05:00:00+00:00,702.64,702.64,692.11,697.33,30002.0
2026-02-17 05:00:00+00:00,699.54,702.23,694.04,694.7,26161.0
2026-02-18 05:00:00+00:00,702.41,719.78,697.86,719.24,76624.0
2026-02-19 05:00:00+00:00,721.9,739.39,721.9,731.34,35469.0
2026-02-20 05:00:00+00:00,724.48,726.47,714.19,717.8,41041.0
2026-02-23 05:00:00+00:00,719.58,727.86,719.58,722.06,19039.0
2026-02-24 05:00:00+00:00,718.56,730.76,708.65,725.34,51363.0
2026-02-25 05:00:00+00:00,723.46,723.46,688.44,701.08,50459.0
2026-02-26 05:00:00+00:00,699.89,710.18,697.53,708.18,30884.0
2026-02-27 05:00:00+00:00,718.63,723.33,712.13,721.61,22432.0
2026-03-02 05:00:00+00:00,736.76,764.31,736.76,763.96,64126.0
2026-03-03 05:00:00+00:00,764.3,768.76,748.75,755.84,70895.0
2026-03-04 05:00:00+00:00,754.13,754.86,734.52,750.53,60045.0
2026-03-05 05:00:00+00:00,745.97,746.62,732.33,736.29,33101.0
2026-03-06 05:00:00+00:00,740.62,755.05,736.81,753.02,34294.0
2026-03-09 04:00:00+00:00,760.84,760.84,741.72,743.3,37058.0
2026-03-10 04:00:00+00:00,731.14,739.77,728.72,731.46,27744.0
2026-03-11 04:00:00+00:00,726.8,738.56,726.8,730.28,21142.0
2026-03-12 04:00:00+00:00,733.08,742.04,725.8,733.3,36837.0
2026-03-13 04:00:00+00:00,737.89,743.62,726.05,730.38,19143.0
2026-03-16 04:00:00+00:00,730.1,733.75,723.56,733.1,29956.0
2026-03-17 04:00:00+00:00,730.33,731.49,717.86,719.93,35604.0
2026-03-18 04:00:00+00:00,726.38,727.96,717.78,721.56,27607.0
2026-03-19 04:00:00+00:00,714.53,717.26,703.99,710.93,70698.0
2026-03-20 04:00:00+00:00,708.91,711.15,698.03,703.88,46981.0
2026-03-23 04:00:00+00:00,700.95,702.92,675.78,677.2,68899.0
2026-03-24 04:00:00+00:00,667.16,685.03,667.16,678.75,52699.0
2026-03-25 04:00:00+00:00,682.86,689.48,679.45,688.2,27507.0
2026-03-26 04:00:00+00:00,687.04,692.45,685.31,689.06,16679.0
2026-03-27 04:00:00+00:00,689.22,690.04,674.99,676.48,23035.0
2026-03-30 04:00:00+00:00,683.5,684.0,661.02,668.55,43847.0
2026-03-31 04:00:00+00:00,673.39,682.42,665.89,679.34,25057.0
2026-04-01 04:00:00+00:00,683.12,699.01,683.12,694.1,25650.0
2026-04-02 04:00:00+00:00,697.98,704.45,696.79,699.3,25480.0
2026-04-06 04:00:00+00:00,694.87,698.61,685.0,692.28,47271.0
2026-04-07 04:00:00+00:00,687.16,693.55,685.69,687.08,32293.0
2026-04-08 04:00:00+00:00,672.93,687.67,670.86,684.36,77069.0
2026-04-09 04:00:00+00:00,684.49,694.85,684.49,687.63,28891.0
2026-04-10 04:00:00+00:00,682.41,682.41,663.42,670.84,18462.0
2026-04-13 04:00:00+00:00,675.29,680.45,675.29,678.11,24163.0
2026-04-14 04:00:00+00:00,673.87,678.44,672.51,676.76,25787.0
2026-04-15 04:00:00+00:00,675.59,679.24,673.36,675.58,24531.0
2026-04-16 04:00:00+00:00,676.89,676.89,667.05,669.63,26005.0
2026-04-17 04:00:00+00:00,671.3,673.34,660.39,662.24,39645.0
2026-04-20 04:00:00+00:00,664.97,668.85,650.96,654.11,38605.0
2026-04-21 04:00:00+00:00,636.93,644.73,607.81,608.58,113190.0
2026-04-22 04:00:00+00:00,610.38,610.38,581.1,586.87,76027.0
2026-04-23 04:00:00+00:00,592.66,592.66,580.7,584.73,65765.0
2026-04-24 04:00:00+00:00,574.19,575.61,566.87,572.99,44142.0
2026-04-27 04:00:00+00:00,574.67,585.34,567.83,572.7,52335.0
2026-04-28 04:00:00+00:00,578.96,578.96,568.85,575.23,24589.0
2026-04-29 04:00:00+00:00,576.37,578.44,565.13,569.98,30006.0
2026-04-30 04:00:00+00:00,571.56,578.05,571.14,577.07,36413.0
2026-05-01 04:00:00+00:00,576.94,576.94,565.74,565.81,33395.0
2026-05-04 04:00:00+00:00,565.51,574.47,565.51,565.77,27445.0
2026-05-05 04:00:00+00:00,565.49,565.49,551.09,556.07,44009.0
2026-05-06 04:00:00+00:00,555.36,557.65,549.02,556.53,40439.0
2026-05-07 04:00:00+00:00,557.2,558.68,546.1,549.73,42063.0
2026-05-08 04:00:00+00:00,549.48,549.48,542.45,546.87,57667.0
2026-05-11 04:00:00+00:00,543.45,551.76,543.0,545.82,31021.0
2026-05-12 04:00:00+00:00,547.7,557.0,544.73,555.18,27278.0
2026-05-13 04:00:00+00:00,550.1,550.61,542.88,549.27,28598.0
2026-05-14 04:00:00+00:00,551.32,551.87,545.27,546.21,20451.0
2026-05-15 04:00:00+00:00,549.26,549.33,536.92,538.06,29497.0
2026-05-18 04:00:00+00:00,539.63,550.25,538.7,547.56,58380.0
2026-05-19 04:00:00+00:00,552.15,554.16,547.95,553.9,39589.0
2026-05-20 04:00:00+00:00,548.25,552.64,545.26,549.64,84452.0
2026-05-21 04:00:00+00:00,546.35,553.29,545.01,548.76,23800.0
2026-05-22 04:00:00+00:00,552.09,555.14,548.19,553.37,38395.0
2026-05-26 04:00:00+00:00,554.9,555.46,548.12,554.5,29394.0
2026-05-27 04:00:00+00:00,553.06,553.06,547.59,548.77,20431.0
