ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,154.16,154.28,153.38,153.38,244054.0
2025-10-27 04:00:00+00:00,152.67,152.67,148.98,149.24,394613.0
2025-10-28 04:00:00+00:00,149.03,149.03,144.34,145.94,364390.0
2025-10-29 04:00:00+00:00,145.29,146.12,142.63,142.97,259393.0
2025-10-30 04:00:00+00:00,143.03,143.61,141.33,141.95,252525.0
2025-10-31 04:00:00+00:00,141.16,141.61,139.51,140.58,188472.0
2025-11-03 05:00:00+00:00,139.78,141.35,138.64,140.84,183597.0
2025-11-04 05:00:00+00:00,141.78,143.94,140.55,143.79,284100.0
2025-11-05 05:00:00+00:00,145.06,146.29,143.53,144.6,221355.0
2025-11-06 05:00:00+00:00,144.62,146.95,143.58,146.0,412573.0
2025-11-07 05:00:00+00:00,146.95,149.5,145.59,149.34,327462.0
2025-11-10 05:00:00+00:00,147.97,151.14,147.53,151.04,251881.0
2025-11-11 05:00:00+00:00,151.5,153.42,151.32,152.72,157707.0
2025-11-12 05:00:00+00:00,152.2,153.19,151.49,151.55,205252.0
2025-11-13 05:00:00+00:00,151.44,151.99,149.32,151.14,206601.0
2025-11-14 05:00:00+00:00,151.21,151.52,148.98,151.41,177552.0
2025-11-17 05:00:00+00:00,150.74,150.74,147.87,148.82,188358.0
2025-11-18 05:00:00+00:00,150.13,153.47,149.21,151.82,209752.0
2025-11-19 05:00:00+00:00,151.33,152.5,150.1,151.55,214271.0
2025-11-20 05:00:00+00:00,151.52,152.15,150.27,151.63,273834.0
2025-11-21 05:00:00+00:00,152.09,153.71,150.49,151.18,163634.0
2025-11-24 05:00:00+00:00,150.25,151.15,146.23,147.09,187313.0
2025-11-25 05:00:00+00:00,148.7,154.12,148.55,153.31,262665.0
2025-11-26 05:00:00+00:00,153.82,154.12,152.39,152.47,168909.0
2025-11-28 05:00:00+00:00,151.82,153.44,151.46,153.39,120608.0
2025-12-01 05:00:00+00:00,153.29,153.78,151.56,152.17,100382.0
2025-12-02 05:00:00+00:00,151.72,152.33,149.6,150.61,136003.0
2025-12-03 05:00:00+00:00,151.4,151.4,147.65,147.81,124431.0
2025-12-04 05:00:00+00:00,146.86,147.43,142.59,144.72,335547.0
2025-12-05 05:00:00+00:00,144.18,145.02,143.5,143.96,228628.0
2025-12-08 05:00:00+00:00,143.83,145.95,142.9,144.46,150366.0
2025-12-09 05:00:00+00:00,145.02,146.97,144.2,146.46,175509.0
2025-12-10 05:00:00+00:00,146.14,146.64,144.37,145.84,512513.0
2025-12-11 05:00:00+00:00,147.12,148.62,146.54,147.04,147885.0
2025-12-12 05:00:00+00:00,147.15,149.68,145.72,149.68,135144.0
2025-12-15 05:00:00+00:00,150.11,155.12,149.84,154.31,346762.0
2025-12-16 05:00:00+00:00,155.15,155.42,153.45,153.67,216984.0
2025-12-17 05:00:00+00:00,153.45,155.31,152.75,154.53,250233.0
2025-12-18 05:00:00+00:00,154.03,154.86,152.46,153.25,286446.0
2025-12-19 05:00:00+00:00,153.17,155.71,152.65,152.77,363868.0
2025-12-22 05:00:00+00:00,152.95,156.97,152.95,155.6,228115.0
2025-12-23 05:00:00+00:00,155.44,158.1,155.24,157.92,148642.0
2025-12-24 05:00:00+00:00,158.2,159.43,157.95,158.55,69088.0
2025-12-26 05:00:00+00:00,158.56,159.85,158.18,158.28,73385.0
2025-12-29 05:00:00+00:00,158.39,159.51,157.78,159.19,115657.0
2025-12-30 05:00:00+00:00,158.93,159.61,158.47,159.23,162088.0
2025-12-31 05:00:00+00:00,159.16,159.19,157.57,157.66,63178.0
2026-01-02 05:00:00+00:00,157.2,159.32,156.54,157.51,130915.0
2026-01-05 05:00:00+00:00,156.24,157.7,152.69,157.17,254091.0
2026-01-06 05:00:00+00:00,156.96,157.3,152.52,152.53,216969.0
2026-01-07 05:00:00+00:00,152.44,153.75,151.14,152.48,206669.0
2026-01-08 05:00:00+00:00,152.89,156.59,152.86,156.16,153568.0
2026-01-09 05:00:00+00:00,156.53,160.0,156.53,159.86,171682.0
2026-01-12 05:00:00+00:00,160.49,162.49,159.61,162.4,269900.0
2026-01-13 05:00:00+00:00,161.62,163.88,160.67,163.07,146021.0
2026-01-14 05:00:00+00:00,163.87,168.28,163.83,168.28,377653.0
2026-01-15 05:00:00+00:00,167.48,171.03,167.46,169.65,281216.0
2026-01-16 05:00:00+00:00,168.59,171.31,168.09,170.68,131142.0
2026-01-20 05:00:00+00:00,167.87,168.29,164.16,164.16,214992.0
2026-01-21 05:00:00+00:00,164.62,166.11,160.45,165.93,295689.0
2026-01-22 05:00:00+00:00,166.63,167.24,164.25,167.15,270868.0
2026-01-23 05:00:00+00:00,167.18,170.23,166.07,170.07,214604.0
2026-01-26 05:00:00+00:00,170.73,173.09,170.31,172.82,236653.0
2026-01-27 05:00:00+00:00,173.05,176.25,172.16,175.86,166701.0
2026-01-28 05:00:00+00:00,175.16,177.9,174.47,175.61,367862.0
2026-01-29 05:00:00+00:00,175.11,177.06,174.05,174.9,323939.0
2026-01-30 05:00:00+00:00,174.33,177.0,172.52,176.37,406314.0
2026-02-02 05:00:00+00:00,176.78,177.52,174.2,176.87,198509.0
2026-02-03 05:00:00+00:00,177.21,178.67,173.85,173.97,757417.0
2026-02-04 05:00:00+00:00,176.29,177.34,174.3,177.33,512423.0
2026-02-05 05:00:00+00:00,179.1,181.2,177.66,178.95,281041.0
2026-02-06 05:00:00+00:00,177.92,183.31,176.19,179.63,334829.0
2026-02-09 05:00:00+00:00,179.15,180.51,175.58,178.76,224132.0
2026-02-10 05:00:00+00:00,177.85,180.15,176.68,179.54,107965.0
2026-02-11 05:00:00+00:00,178.87,185.03,178.87,183.14,186962.0
2026-02-12 05:00:00+00:00,183.12,187.69,182.71,185.68,202003.0
2026-02-13 05:00:00+00:00,185.88,186.86,183.63,184.35,112463.0
2026-02-17 05:00:00+00:00,184.07,184.22,180.21,180.53,159340.0
2026-02-18 05:00:00+00:00,181.49,181.49,179.07,179.6,156674.0
2026-02-19 05:00:00+00:00,179.22,180.67,178.16,180.38,159939.0
2026-02-20 05:00:00+00:00,180.72,180.92,179.07,180.31,126469.0
2026-02-23 05:00:00+00:00,180.72,184.95,180.72,184.02,132403.0
2026-02-24 05:00:00+00:00,182.95,184.39,180.27,183.8,112990.0
2026-02-25 05:00:00+00:00,182.96,188.04,182.76,186.74,187286.0
2026-02-26 05:00:00+00:00,186.9,186.9,183.98,184.32,175262.0
2026-02-27 05:00:00+00:00,185.09,186.68,182.59,183.64,138705.0
2026-03-02 05:00:00+00:00,183.32,184.21,180.53,180.72,118133.0
2026-03-03 05:00:00+00:00,178.73,178.73,172.7,174.94,295945.0
2026-03-04 05:00:00+00:00,174.06,176.23,172.97,176.05,134831.0
2026-03-05 05:00:00+00:00,173.43,173.72,165.24,166.78,325011.0
2026-03-06 05:00:00+00:00,166.26,167.14,164.11,167.04,187173.0
2026-03-09 04:00:00+00:00,166.52,170.32,166.52,170.31,227381.0
2026-03-10 04:00:00+00:00,169.94,171.3,168.84,169.91,152306.0
2026-03-11 04:00:00+00:00,168.48,168.48,162.48,164.06,250067.0
2026-03-12 04:00:00+00:00,161.18,169.2,161.18,169.07,346514.0
2026-03-13 04:00:00+00:00,170.7,173.03,169.75,171.4,201791.0
2026-03-16 04:00:00+00:00,173.11,174.24,171.65,171.88,148911.0
2026-03-17 04:00:00+00:00,172.87,173.76,169.61,169.87,110756.0
2026-03-18 04:00:00+00:00,168.09,168.09,162.13,163.32,205226.0
2026-03-19 04:00:00+00:00,163.28,163.62,160.57,162.04,278619.0
2026-03-20 04:00:00+00:00,163.05,163.05,160.54,161.72,174162.0
2026-03-23 04:00:00+00:00,162.35,163.56,161.31,161.9,136417.0
2026-03-24 04:00:00+00:00,161.63,166.09,160.53,162.43,164067.0
2026-03-25 04:00:00+00:00,163.45,164.48,161.84,164.22,85589.0
2026-03-26 04:00:00+00:00,164.28,164.55,160.6,161.15,119752.0
2026-03-27 04:00:00+00:00,161.63,163.86,161.11,162.23,132141.0
2026-03-30 04:00:00+00:00,163.78,164.32,162.42,163.44,104477.0
2026-03-31 04:00:00+00:00,165.11,165.11,162.76,164.02,121482.0
2026-04-01 04:00:00+00:00,160.63,160.63,150.46,156.05,462917.0
2026-04-02 04:00:00+00:00,157.93,157.94,155.31,156.75,132655.0
2026-04-06 04:00:00+00:00,156.83,159.03,156.83,158.97,107786.0
2026-04-07 04:00:00+00:00,158.67,159.34,156.03,156.2,106891.0
2026-04-08 04:00:00+00:00,154.82,159.82,154.14,159.64,250211.0
2026-04-09 04:00:00+00:00,158.76,160.94,158.27,159.85,129446.0
2026-04-10 04:00:00+00:00,159.4,160.09,156.88,159.14,214183.0
2026-04-13 04:00:00+00:00,159.21,162.28,158.75,161.36,258407.0
2026-04-14 04:00:00+00:00,158.73,158.87,156.62,158.12,124203.0
2026-04-15 04:00:00+00:00,157.68,157.98,155.86,155.87,123664.0
2026-04-16 04:00:00+00:00,155.72,157.11,154.05,154.95,126428.0
2026-04-17 04:00:00+00:00,154.2,156.7,153.76,156.46,224383.0
2026-04-20 04:00:00+00:00,157.98,158.68,155.81,156.3,241599.0
2026-04-21 04:00:00+00:00,156.08,156.37,151.99,152.01,235379.0
2026-04-22 04:00:00+00:00,156.53,163.25,155.24,162.7,328576.0
2026-04-23 04:00:00+00:00,163.27,169.45,162.46,167.83,358800.0
2026-04-24 04:00:00+00:00,166.47,166.63,161.62,162.8,211508.0
2026-04-27 04:00:00+00:00,162.7,163.55,159.38,159.57,253234.0
2026-04-28 04:00:00+00:00,161.83,164.9,161.83,164.57,183348.0
2026-04-29 04:00:00+00:00,163.15,163.43,160.65,161.39,143907.0
2026-04-30 04:00:00+00:00,162.04,165.26,161.17,163.86,323861.0
2026-05-01 04:00:00+00:00,164.96,166.2,164.22,165.08,298754.0
2026-05-04 04:00:00+00:00,164.91,170.3,164.58,167.88,158814.0
2026-05-05 04:00:00+00:00,167.28,168.23,164.66,168.03,193880.0
2026-05-06 04:00:00+00:00,168.32,169.8,167.3,169.23,198903.0
2026-05-07 04:00:00+00:00,168.25,170.32,167.64,169.7,240287.0
2026-05-08 04:00:00+00:00,170.58,170.67,168.91,169.56,177497.0
2026-05-11 04:00:00+00:00,171.7,180.76,171.7,180.59,317881.0
2026-05-12 04:00:00+00:00,181.97,189.34,179.24,185.4,343604.0
2026-05-13 04:00:00+00:00,185.69,188.03,183.9,186.33,273661.0
2026-05-14 04:00:00+00:00,187.85,191.24,186.27,190.31,190626.0
2026-05-15 04:00:00+00:00,190.42,191.17,187.91,188.07,175306.0
2026-05-18 04:00:00+00:00,187.54,190.4,185.79,189.95,210022.0
2026-05-19 04:00:00+00:00,189.43,191.43,187.14,190.16,145265.0
2026-05-20 04:00:00+00:00,187.63,187.8,184.19,187.15,206372.0
2026-05-21 04:00:00+00:00,186.64,187.89,185.78,186.88,78057.0
2026-05-22 04:00:00+00:00,186.08,188.8,186.06,187.43,99835.0
2026-05-26 04:00:00+00:00,188.24,188.24,179.72,180.12,238915.0
2026-05-27 04:00:00+00:00,181.72,181.72,179.03,180.51,209847.0
2026-05-28 04:00:00+00:00,180.49,182.08,176.81,177.1,146368.0
2026-05-29 04:00:00+00:00,175.45,176.62,173.52,175.95,144915.0
2026-06-01 04:00:00+00:00,173.87,174.54,170.78,171.27,148313.0
2026-06-02 04:00:00+00:00,169.43,173.76,169.43,172.31,203601.0
2026-06-03 04:00:00+00:00,172.31,177.45,172.31,174.63,85905.0
2026-06-04 04:00:00+00:00,176.32,177.83,173.34,173.56,126053.0
2026-06-05 04:00:00+00:00,174.8,178.86,173.76,176.82,196200.0
2026-06-08 04:00:00+00:00,176.81,177.39,173.13,174.61,154518.0
2026-06-09 04:00:00+00:00,173.68,177.55,171.02,177.02,145720.0
2026-06-10 04:00:00+00:00,178.65,181.57,177.8,181.47,173174.0
2026-06-11 04:00:00+00:00,182.67,183.38,178.75,179.29,228713.0
2026-06-12 04:00:00+00:00,180.72,183.6,180.58,182.82,133609.0
2026-06-15 04:00:00+00:00,181.3,182.42,179.48,180.43,217116.0
2026-06-16 04:00:00+00:00,181.97,184.66,180.03,182.56,196343.0
2026-06-17 04:00:00+00:00,180.75,181.07,177.07,177.97,185855.0
2026-06-18 04:00:00+00:00,178.1,178.98,175.69,176.96,221845.0
2026-06-22 04:00:00+00:00,176.55,177.11,171.01,171.68,134137.0
2026-06-23 04:00:00+00:00,176.11,177.9,174.36,177.23,147256.0
2026-06-24 04:00:00+00:00,177.56,178.42,175.16,177.29,168517.0
2026-06-25 04:00:00+00:00,176.415,180.6,176.14,178.89,119576.0
2026-06-26 04:00:00+00:00,179.93,182.52,179.595,180.76,320062.0
2026-06-29 04:00:00+00:00,180.675,183.22,179.7,182.9,146244.0
2026-06-30 04:00:00+00:00,181.725,185.68,179.18,180.8,352805.0
2026-07-01 04:00:00+00:00,180.87,180.9,176.59,177.65,310765.0
2026-07-02 04:00:00+00:00,181.02,183.78,179.63,182.33,191475.0
2026-07-06 04:00:00+00:00,182.635,184.97,181.69,184.85,223506.0
2026-07-07 04:00:00+00:00,189.25,189.48,185.28,187.755,184440.0
2026-07-08 04:00:00+00:00,187.085,189.595,186.495,187.1,181716.0
2026-07-09 04:00:00+00:00,186.425,186.995,180.675,181.14,156515.0
2026-07-10 04:00:00+00:00,181.545,181.935,179.095,181.62,304353.0
2026-07-13 04:00:00+00:00,181.05,183.95,179.85,180.22,143868.0
2026-07-14 04:00:00+00:00,180.68,181.99,175.89,176.01,167000.0
2026-07-15 04:00:00+00:00,176.66,181.1,175.835,180.88,215686.0
2026-07-16 04:00:00+00:00,182.435,189.98,181.66,189.88,310689.0
2026-07-17 04:00:00+00:00,192.43,194.58,190.66,192.79,200418.0
2026-07-20 04:00:00+00:00,194.17,194.75,191.31,192.755,283718.0
2026-07-21 04:00:00+00:00,191.78,192.045,187.325,188.11,311502.0
