ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,93.89,94.48,93.39,93.5,388419.0
2025-10-27 04:00:00+00:00,94.06,94.34,93.65,93.89,340171.0
2025-10-28 04:00:00+00:00,93.96,94.03,92.61,92.9,385342.0
2025-10-29 04:00:00+00:00,92.41,94.17,92.41,93.69,595946.0
2025-10-30 04:00:00+00:00,93.6,94.59,92.65,93.51,422714.0
2025-10-31 04:00:00+00:00,93.19,93.9,92.22,93.62,471809.0
2025-11-03 05:00:00+00:00,93.9,93.94,91.71,92.24,411112.0
2025-11-04 05:00:00+00:00,91.67,93.2,91.27,92.9,342864.0
2025-11-05 05:00:00+00:00,92.67,93.15,91.91,92.86,397806.0
2025-11-06 05:00:00+00:00,92.84,93.83,92.84,93.28,307713.0
2025-11-07 05:00:00+00:00,93.44,94.55,92.41,94.3,393010.0
2025-11-10 05:00:00+00:00,94.05,95.08,93.8,94.65,736153.0
2025-11-11 05:00:00+00:00,94.09,96.17,94.09,95.18,385093.0
2025-11-12 05:00:00+00:00,95.27,97.45,95.27,96.74,690934.0
2025-11-13 05:00:00+00:00,96.91,97.26,94.02,94.41,513241.0
2025-11-14 05:00:00+00:00,94.19,94.95,92.74,93.75,881703.0
2025-11-17 05:00:00+00:00,93.47,93.91,90.96,91.3,644908.0
2025-11-18 05:00:00+00:00,90.82,92.69,90.64,91.64,544388.0
2025-11-19 05:00:00+00:00,91.4,92.74,90.97,92.0,420181.0
2025-11-20 05:00:00+00:00,93.0,93.71,89.85,89.88,625771.0
2025-11-21 05:00:00+00:00,90.32,90.54,88.75,89.87,680709.0
2025-11-24 05:00:00+00:00,89.96,90.25,89.03,89.87,483314.0
2025-11-25 05:00:00+00:00,89.65,90.44,88.9,90.1,500147.0
2025-11-26 05:00:00+00:00,90.31,91.73,90.31,91.18,467527.0
2025-11-28 05:00:00+00:00,91.11,92.58,91.01,92.07,175734.0
2025-12-01 05:00:00+00:00,91.86,92.55,91.22,92.05,532537.0
2025-12-02 05:00:00+00:00,92.07,92.45,91.39,91.42,572642.0
2025-12-03 05:00:00+00:00,91.23,93.36,91.06,93.34,412520.0
2025-12-04 05:00:00+00:00,93.48,94.73,93.47,94.39,415722.0
2025-12-05 05:00:00+00:00,94.07,94.94,93.16,93.16,372774.0
2025-12-08 05:00:00+00:00,93.0,93.67,92.12,93.63,439880.0
2025-12-09 05:00:00+00:00,93.53,95.1,93.44,93.5,401220.0
2025-12-10 05:00:00+00:00,93.66,95.7,93.46,95.14,448012.0
2025-12-11 05:00:00+00:00,94.93,96.42,94.24,96.36,825778.0
2025-12-12 05:00:00+00:00,96.6,96.6,93.72,96.03,742147.0
2025-12-15 05:00:00+00:00,96.01,96.49,93.88,94.64,478715.0
2025-12-16 05:00:00+00:00,94.5,95.77,94.37,95.31,517116.0
2025-12-17 05:00:00+00:00,95.78,96.53,95.19,95.93,696631.0
2025-12-18 05:00:00+00:00,96.24,96.7,95.26,96.58,521469.0
2025-12-19 05:00:00+00:00,96.69,98.84,96.69,98.15,793461.0
2025-12-22 05:00:00+00:00,98.46,101.03,98.39,100.67,472687.0
2025-12-23 05:00:00+00:00,100.95,101.32,100.21,100.5,329519.0
2025-12-24 05:00:00+00:00,100.46,101.39,100.2,101.09,162402.0
2025-12-26 05:00:00+00:00,101.35,101.56,100.83,101.17,145369.0
2025-12-29 05:00:00+00:00,100.86,101.06,100.53,100.64,224907.0
