ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,94.11,94.29,93.54,93.58,186064.0
2025-10-27 04:00:00+00:00,93.28,93.4,92.53,93.17,174583.0
2025-10-28 04:00:00+00:00,92.86,92.92,91.08,91.65,320925.0
2025-10-29 04:00:00+00:00,91.64,92.13,90.63,91.31,453941.0
2025-10-30 04:00:00+00:00,91.73,93.13,91.12,92.82,441753.0
2025-10-31 04:00:00+00:00,92.18,92.4,91.39,91.8,246912.0
2025-11-03 05:00:00+00:00,91.33,92.79,89.97,90.9,828575.0
2025-11-04 05:00:00+00:00,90.97,91.27,90.25,90.51,425668.0
2025-11-05 05:00:00+00:00,89.45,90.02,88.4,89.22,810173.0
2025-11-06 05:00:00+00:00,88.78,89.82,88.69,88.7,353234.0
2025-11-07 05:00:00+00:00,89.07,89.71,88.68,89.23,242926.0
2025-11-10 05:00:00+00:00,88.87,89.14,87.81,88.57,346228.0
2025-11-11 05:00:00+00:00,88.74,89.25,88.39,88.91,203165.0
2025-11-12 05:00:00+00:00,88.97,89.81,88.72,89.69,246182.0
2025-11-13 05:00:00+00:00,89.79,90.14,88.91,88.99,243198.0
2025-11-14 05:00:00+00:00,89.24,89.38,88.15,88.51,199372.0
2025-11-17 05:00:00+00:00,88.91,89.51,88.74,89.12,207942.0
2025-11-18 05:00:00+00:00,89.29,89.91,89.12,89.27,203846.0
2025-11-19 05:00:00+00:00,88.92,89.34,87.49,87.59,214731.0
2025-11-20 05:00:00+00:00,87.8,88.07,87.03,87.16,425673.0
2025-11-21 05:00:00+00:00,87.38,88.61,87.21,87.84,267882.0
2025-11-24 05:00:00+00:00,88.18,88.28,86.81,87.73,215081.0
2025-11-25 05:00:00+00:00,87.61,88.03,87.21,87.89,260780.0
2025-11-26 05:00:00+00:00,88.3,88.95,88.12,88.81,150286.0
2025-11-28 05:00:00+00:00,88.94,89.65,88.86,89.64,123029.0
2025-12-01 05:00:00+00:00,89.26,89.27,87.57,87.6,182073.0
