ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,670.84,672.86,670.1,671.5,1158020.0
2025-10-27 04:00:00+00:00,677.08,679.87,676.48,679.55,1414474.0
2025-10-28 04:00:00+00:00,681.36,683.21,679.21,681.29,1318898.0
2025-10-29 04:00:00+00:00,683.03,683.99,677.27,681.64,1820620.0
2025-10-30 04:00:00+00:00,678.03,680.27,674.27,674.48,1168362.0
2025-10-31 04:00:00+00:00,679.32,679.4,673.68,676.39,1444709.0
2025-11-03 05:00:00+00:00,680.0,680.1,674.35,677.72,968746.0
2025-11-04 05:00:00+00:00,670.49,674.33,669.02,669.73,1579563.0
2025-11-05 05:00:00+00:00,669.38,675.22,668.65,671.89,1164923.0
2025-11-06 05:00:00+00:00,670.94,671.75,663.24,664.7,1603634.0
2025-11-07 05:00:00+00:00,662.37,665.51,655.78,665.38,1894028.0
2025-11-10 05:00:00+00:00,671.64,676.53,669.56,675.68,1437682.0
2025-11-11 05:00:00+00:00,674.33,677.91,673.14,677.26,943641.0
2025-11-12 05:00:00+00:00,679.18,679.29,675.35,677.67,1286225.0
2025-11-13 05:00:00+00:00,674.87,675.22,665.0,666.52,1686978.0
2025-11-14 05:00:00+00:00,659.86,670.07,657.8,666.38,1363032.0
2025-11-17 05:00:00+00:00,664.12,668.11,656.73,660.22,1439197.0
2025-11-18 05:00:00+00:00,656.46,659.56,650.49,654.7,2245731.0
2025-11-19 05:00:00+00:00,655.32,661.83,653.33,657.2,1471719.0
2025-11-20 05:00:00+00:00,667.38,669.96,646.5,647.03,3199694.0
2025-11-21 05:00:00+00:00,649.31,659.03,645.48,653.7,1680117.0
2025-11-24 05:00:00+00:00,657.17,664.51,656.17,663.29,1284399.0
2025-11-25 05:00:00+00:00,663.1,670.6,659.03,669.42,895760.0
2025-11-26 05:00:00+00:00,672.03,676.06,671.22,674.02,780390.0
2025-11-28 05:00:00+00:00,675.25,678.0,674.93,677.71,698369.0
2025-12-01 05:00:00+00:00,673.22,677.35,673.13,674.63,1011551.0
2025-12-02 05:00:00+00:00,676.19,678.17,673.78,675.81,770220.0
2025-12-03 05:00:00+00:00,674.94,679.24,674.12,678.16,808176.0
2025-12-04 05:00:00+00:00,679.64,679.66,675.77,678.84,728020.0
2025-12-05 05:00:00+00:00,679.82,682.7,678.93,679.95,901415.0
2025-12-08 05:00:00+00:00,680.79,680.92,675.96,678.03,946326.0
2025-12-09 05:00:00+00:00,677.47,679.71,676.98,677.39,1073483.0
2025-12-10 05:00:00+00:00,676.88,683.27,675.69,681.91,1579236.0
2025-12-11 05:00:00+00:00,679.48,683.53,676.67,683.46,1239671.0
2025-12-12 05:00:00+00:00,682.5,683.17,673.57,676.17,1269024.0
2025-12-15 05:00:00+00:00,680.08,680.08,673.67,675.09,1203309.0
2025-12-16 05:00:00+00:00,673.48,675.41,669.43,673.25,1592313.0
2025-12-17 05:00:00+00:00,674.15,674.76,665.65,665.88,1053974.0
2025-12-18 05:00:00+00:00,671.99,675.07,669.33,670.92,1343555.0
2025-12-19 05:00:00+00:00,673.0,677.46,672.87,676.89,1591366.0
2025-12-22 05:00:00+00:00,680.28,681.65,679.07,681.06,1100367.0
2025-12-23 05:00:00+00:00,680.25,684.52,680.23,684.24,910769.0
2025-12-24 05:00:00+00:00,684.25,687.14,684.16,686.59,508573.0
2025-12-26 05:00:00+00:00,686.87,687.93,685.66,686.58,475363.0
2025-12-29 05:00:00+00:00,683.9,685.5,682.44,684.31,994838.0
2025-12-30 05:00:00+00:00,683.76,684.88,682.92,683.27,1056176.0
2025-12-31 05:00:00+00:00,683.48,683.68,678.08,678.18,1205920.0
2026-01-02 05:00:00+00:00,681.85,683.21,676.25,679.69,1049269.0
2026-01-05 05:00:00+00:00,682.85,685.75,682.72,684.06,1228667.0
2026-01-06 05:00:00+00:00,684.25,688.61,684.13,688.12,1513700.0
2026-01-07 05:00:00+00:00,688.49,690.25,685.67,685.96,1472466.0
2026-01-08 05:00:00+00:00,685.12,686.91,683.83,685.76,1531855.0
2026-01-09 05:00:00+00:00,686.92,691.59,685.53,690.3,1619127.0
2026-01-12 05:00:00+00:00,687.0,692.36,687.0,691.48,1379119.0
2026-01-13 05:00:00+00:00,691.73,692.37,687.71,690.01,1516329.0
2026-01-14 05:00:00+00:00,687.22,687.99,682.51,686.94,1623287.0
2026-01-15 05:00:00+00:00,690.9,691.73,687.59,688.49,1763355.0
2026-01-16 05:00:00+00:00,689.98,690.53,686.45,687.89,1267886.0
2026-01-20 05:00:00+00:00,677.89,681.09,672.97,674.05,1121802.0
2026-01-21 05:00:00+00:00,675.73,685.05,674.55,681.69,2214904.0
2026-01-22 05:00:00+00:00,686.17,687.39,683.28,685.29,979114.0
2026-01-23 05:00:00+00:00,684.43,687.27,683.52,685.52,1105712.0
2026-01-26 05:00:00+00:00,686.8,690.42,686.27,689.06,1235263.0
2026-01-27 05:00:00+00:00,690.45,692.8,689.88,691.82,1298406.0
2026-01-28 05:00:00+00:00,693.3,694.1,690.46,691.68,915857.0
2026-01-29 05:00:00+00:00,692.63,693.34,681.2,690.26,1448351.0
2026-01-30 05:00:00+00:00,688.15,690.47,683.51,688.11,1391309.0
2026-02-02 05:00:00+00:00,685.94,693.21,685.77,691.68,1805145.0
2026-02-03 05:00:00+00:00,692.51,693.23,680.39,685.76,1826631.0
2026-02-04 05:00:00+00:00,686.61,687.71,678.14,682.44,1834820.0
2026-02-05 05:00:00+00:00,677.15,679.99,672.21,673.83,1556860.0
2026-02-06 05:00:00+00:00,677.8,688.6,677.51,687.04,1801352.0
2026-02-09 05:00:00+00:00,685.79,692.14,684.72,690.3,1039359.0
2026-02-10 05:00:00+00:00,691.2,692.82,687.97,688.42,1087464.0
2026-02-11 05:00:00+00:00,692.72,693.36,685.54,688.12,1054954.0
