ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,217.27,217.27,212.52,213.11,282590.0
2025-10-27 04:00:00+00:00,214.69,215.34,213.29,214.69,216045.0
2025-10-28 04:00:00+00:00,215.1,217.24,214.09,214.09,149892.0
2025-10-29 04:00:00+00:00,213.48,214.65,212.08,212.88,212832.0
2025-10-30 04:00:00+00:00,212.57,216.7,212.57,215.3,144508.0
2025-10-31 04:00:00+00:00,213.06,217.41,213.06,216.8,170322.0
2025-11-03 05:00:00+00:00,216.75,217.38,214.52,215.25,237653.0
2025-11-04 05:00:00+00:00,215.3,217.54,214.44,217.39,104528.0
2025-11-05 05:00:00+00:00,217.67,217.67,213.84,213.84,116335.0
2025-11-06 05:00:00+00:00,213.52,214.97,212.91,214.48,118869.0
2025-11-07 05:00:00+00:00,215.07,218.1,215.06,217.91,216804.0
2025-11-10 05:00:00+00:00,217.5,220.99,217.45,220.37,184444.0
2025-11-11 05:00:00+00:00,220.97,221.23,219.88,221.14,119507.0
2025-11-12 05:00:00+00:00,220.85,223.32,219.93,219.93,96572.0
2025-11-13 05:00:00+00:00,218.97,219.82,217.55,217.9,103247.0
2025-11-14 05:00:00+00:00,218.07,220.54,216.87,219.44,119630.0
2025-11-17 05:00:00+00:00,218.92,219.93,217.39,217.46,143715.0
2025-11-18 05:00:00+00:00,217.25,218.18,216.47,217.27,164699.0
2025-11-19 05:00:00+00:00,217.83,218.41,216.48,217.59,257420.0
2025-11-20 05:00:00+00:00,217.82,219.75,216.91,217.64,234881.0
2025-11-21 05:00:00+00:00,218.83,223.67,218.22,222.6,200299.0
2025-11-24 05:00:00+00:00,222.78,222.78,219.02,220.87,220761.0
2025-11-25 05:00:00+00:00,222.39,225.75,222.1,225.42,98483.0
2025-11-26 05:00:00+00:00,224.75,228.0,224.75,226.99,114170.0
2025-11-28 05:00:00+00:00,227.13,228.68,226.99,227.99,38605.0
2025-12-01 05:00:00+00:00,227.93,230.32,227.48,227.61,121896.0
2025-12-02 05:00:00+00:00,227.89,229.97,225.9,228.55,159814.0
2025-12-03 05:00:00+00:00,229.09,232.01,228.91,231.42,129221.0
2025-12-04 05:00:00+00:00,231.67,233.85,230.83,233.45,170102.0
2025-12-05 05:00:00+00:00,233.69,234.55,232.55,232.97,160630.0
2025-12-08 05:00:00+00:00,232.32,234.77,231.79,233.07,113892.0
2025-12-09 05:00:00+00:00,231.56,232.3,229.15,229.18,129662.0
2025-12-10 05:00:00+00:00,229.6,234.21,229.6,232.85,122255.0
2025-12-11 05:00:00+00:00,231.38,233.72,230.49,233.57,239209.0
2025-12-12 05:00:00+00:00,233.37,237.5,232.8,237.47,122859.0
2025-12-15 05:00:00+00:00,237.85,238.64,235.81,237.98,102837.0
2025-12-16 05:00:00+00:00,238.69,238.69,232.88,233.41,109431.0
2025-12-17 05:00:00+00:00,232.6,235.4,232.29,234.29,82343.0
2025-12-18 05:00:00+00:00,235.24,235.39,231.71,231.96,112912.0
2025-12-19 05:00:00+00:00,231.96,233.01,229.64,231.73,133959.0
2025-12-22 05:00:00+00:00,231.91,232.44,230.19,232.27,74937.0
2025-12-23 05:00:00+00:00,232.57,232.8,230.86,231.75,78506.0
2025-12-24 05:00:00+00:00,231.94,232.95,231.86,232.6,34007.0
2025-12-26 05:00:00+00:00,232.07,232.47,230.49,230.94,24612.0
2025-12-29 05:00:00+00:00,231.27,232.19,230.86,232.07,46302.0
2025-12-30 05:00:00+00:00,231.62,232.08,230.52,230.6,128604.0
