ts,open,high,low,close,volume
2025-10-24 04:00:00+00:00,82.99,85.03,82.99,84.57,1105516.0
2025-10-27 04:00:00+00:00,85.03,85.46,84.48,85.14,818181.0
2025-10-28 04:00:00+00:00,85.29,85.43,83.97,85.06,727328.0
2025-10-29 04:00:00+00:00,85.01,85.37,83.84,84.22,779481.0
2025-10-30 04:00:00+00:00,84.33,85.39,84.05,84.15,655255.0
2025-10-31 04:00:00+00:00,83.58,85.48,83.21,85.2,687374.0
2025-11-03 05:00:00+00:00,85.21,86.01,84.08,85.45,480328.0
2025-11-04 05:00:00+00:00,85.14,86.6,84.12,85.25,555515.0
2025-11-05 05:00:00+00:00,85.52,86.42,84.09,85.08,905478.0
2025-11-06 05:00:00+00:00,85.08,85.44,83.69,84.21,815827.0
2025-11-07 05:00:00+00:00,83.83,84.7,82.68,84.68,641443.0
2025-11-10 05:00:00+00:00,84.93,85.57,84.08,84.72,633355.0
2025-11-11 05:00:00+00:00,84.91,85.64,84.66,84.83,596843.0
2025-11-12 05:00:00+00:00,84.89,87.2,84.55,84.87,1042214.0
2025-11-13 05:00:00+00:00,84.76,85.45,83.12,83.33,833777.0
2025-11-14 05:00:00+00:00,82.95,83.96,81.66,83.65,1034631.0
2025-11-17 05:00:00+00:00,83.31,83.67,81.22,82.07,759089.0
2025-11-18 05:00:00+00:00,81.97,83.39,81.6,82.52,690332.0
2025-11-19 05:00:00+00:00,82.68,83.45,82.26,82.8,784384.0
2025-11-20 05:00:00+00:00,83.67,84.64,81.0,81.09,668495.0
2025-11-21 05:00:00+00:00,81.47,82.25,79.74,81.8,847974.0
2025-11-24 05:00:00+00:00,81.71,83.71,81.08,83.23,1323865.0
2025-11-25 05:00:00+00:00,83.24,84.13,82.26,83.71,1006734.0
2025-11-26 05:00:00+00:00,84.03,84.99,83.75,84.18,651471.0
2025-11-28 05:00:00+00:00,84.1,85.12,83.94,84.49,263502.0
2025-12-01 05:00:00+00:00,84.43,85.16,83.79,84.01,546225.0
2025-12-02 05:00:00+00:00,84.23,85.38,83.92,84.93,460818.0
2025-12-03 05:00:00+00:00,84.86,87.93,84.86,87.92,901842.0
2025-12-04 05:00:00+00:00,87.97,89.16,87.9,88.76,640398.0
2025-12-05 05:00:00+00:00,88.53,89.6,88.1,88.35,562622.0
2025-12-08 05:00:00+00:00,88.37,89.54,87.76,88.59,740697.0
2025-12-09 05:00:00+00:00,88.55,88.78,87.34,87.49,1009306.0
2025-12-10 05:00:00+00:00,87.49,89.39,86.78,89.22,1484193.0
2025-12-11 05:00:00+00:00,89.22,91.9,88.76,91.13,1066633.0
2025-12-12 05:00:00+00:00,91.74,91.9,90.63,91.28,931719.0
2025-12-15 05:00:00+00:00,91.87,92.69,91.0,91.39,663038.0
2025-12-16 05:00:00+00:00,91.46,91.66,89.97,90.69,760452.0
2025-12-17 05:00:00+00:00,91.25,91.8,90.97,91.09,866787.0
2025-12-18 05:00:00+00:00,91.56,92.36,89.81,90.01,617210.0
2025-12-19 05:00:00+00:00,90.13,91.6,90.13,91.48,648936.0
2025-12-22 05:00:00+00:00,91.66,92.86,91.64,92.73,440670.0
2025-12-23 05:00:00+00:00,92.78,93.13,92.51,92.92,642464.0
2025-12-24 05:00:00+00:00,92.98,94.29,92.94,93.76,311236.0
2025-12-26 05:00:00+00:00,93.81,93.92,93.19,93.74,380519.0
2025-12-29 05:00:00+00:00,93.88,94.04,92.84,93.02,401582.0
2025-12-30 05:00:00+00:00,93.2,93.28,92.47,92.82,357289.0
2025-12-31 05:00:00+00:00,92.99,93.05,91.61,91.72,467772.0
2026-01-02 05:00:00+00:00,91.7,93.79,91.36,93.66,475226.0
2026-01-05 05:00:00+00:00,93.91,96.18,93.9,94.85,745524.0
2026-01-06 05:00:00+00:00,93.83,94.98,93.64,94.82,800644.0
2026-01-07 05:00:00+00:00,94.17,94.17,92.14,92.75,891486.0
2026-01-08 05:00:00+00:00,92.73,94.6,92.71,94.03,743201.0
2026-01-09 05:00:00+00:00,94.36,95.0,93.72,94.38,856337.0
2026-01-12 05:00:00+00:00,92.95,93.98,92.36,93.45,1068639.0
2026-01-13 05:00:00+00:00,93.76,94.15,91.55,92.0,1517131.0
2026-01-14 05:00:00+00:00,89.0,89.02,86.63,87.81,1638074.0
2026-01-15 05:00:00+00:00,87.7,88.43,86.95,87.51,940532.0
2026-01-16 05:00:00+00:00,87.61,88.21,86.67,86.94,996889.0
2026-01-20 05:00:00+00:00,85.65,87.2,84.88,85.26,972968.0
2026-01-21 05:00:00+00:00,85.08,86.13,84.64,84.75,1338202.0
2026-01-22 05:00:00+00:00,85.03,87.56,85.03,86.62,1296631.0
2026-01-23 05:00:00+00:00,85.89,86.29,84.66,85.56,776323.0
2026-01-26 05:00:00+00:00,85.72,86.85,85.72,86.61,738473.0
2026-01-27 05:00:00+00:00,86.68,87.62,86.06,87.27,1038726.0
2026-01-28 05:00:00+00:00,87.22,87.62,85.43,86.6,1035926.0
2026-01-29 05:00:00+00:00,87.56,89.11,87.14,89.1,1383776.0
2026-01-30 05:00:00+00:00,88.97,89.57,88.3,89.06,1324946.0
2026-02-02 05:00:00+00:00,88.86,91.29,88.58,90.8,859050.0
2026-02-03 05:00:00+00:00,91.52,93.24,90.41,90.81,1072433.0
2026-02-04 05:00:00+00:00,91.34,92.39,91.06,91.63,708267.0
2026-02-05 05:00:00+00:00,91.53,91.53,89.45,90.49,697943.0
2026-02-06 05:00:00+00:00,91.7,93.56,91.7,92.87,1055391.0
2026-02-09 05:00:00+00:00,92.68,94.01,87.99,93.55,1304419.0
2026-02-10 05:00:00+00:00,93.36,93.93,88.75,90.89,1080330.0
2026-02-11 05:00:00+00:00,91.6,92.02,87.5,87.97,827147.0
2026-02-12 05:00:00+00:00,88.3,88.91,84.85,85.28,1009328.0
2026-02-13 05:00:00+00:00,84.81,86.44,84.25,85.96,794906.0
2026-02-17 05:00:00+00:00,87.22,87.8,86.32,86.43,675319.0
2026-02-18 05:00:00+00:00,87.0,88.34,86.75,87.54,557700.0
2026-02-19 05:00:00+00:00,86.89,87.11,85.63,86.56,496667.0
2026-02-20 05:00:00+00:00,86.37,87.66,85.18,87.66,537889.0
2026-02-23 05:00:00+00:00,87.1,87.56,82.83,84.2,926813.0
2026-02-24 05:00:00+00:00,82.72,84.2,81.54,83.58,907002.0
2026-02-25 05:00:00+00:00,84.22,85.93,84.03,85.77,872988.0
2026-02-26 05:00:00+00:00,85.84,87.31,84.67,85.3,967562.0
2026-02-27 05:00:00+00:00,83.83,83.86,79.54,80.51,1299831.0
2026-03-02 05:00:00+00:00,78.6,82.12,78.15,81.6,1086854.0
2026-03-03 05:00:00+00:00,80.07,82.54,78.95,81.55,844326.0
2026-03-04 05:00:00+00:00,81.88,83.09,81.13,82.96,858308.0
2026-03-05 05:00:00+00:00,82.58,82.82,80.27,81.18,762167.0
2026-03-06 05:00:00+00:00,78.99,79.64,77.09,79.48,687187.0
2026-03-09 04:00:00+00:00,78.32,78.32,76.01,77.96,1101303.0
2026-03-10 04:00:00+00:00,78.19,78.88,76.58,77.45,796877.0
